processing_id,processing_activity,purpose,role,legal_basis,data_categories,data_subjects,processor_name,processor_location,dpa_signed,transfer_destination,retention_period,last_reviewed,status,owner,notes
PROC-001,Employee Record Management,"Core HRIS functionality — storing and managing employee personal and employment records",Processor (on behalf of employer clients),Contractual necessity (client DPA),"Name, DOB, national ID, contact info, emergency contacts, employment details",Employees of client organizations,N/A (internal processing),Ireland (eu-west-1),N/A,N/A,Client contract + 90 days,2025-03-15,Active,Engineering,"Primary platform function. Data processed strictly per client instructions."
PROC-002,Payroll Processing,"Salary calculation, tax withholding, payslip generation",Processor (on behalf of employer clients),Contractual necessity (client DPA),"Salary, bank account details, tax codes, pension contributions, bonus payments",Employees of client organizations,N/A (internal processing),Ireland (eu-west-1),N/A,N/A,Client contract + 90 days,2025-03-15,Active,Finance Platform,"Payroll calculations performed per client-configured rules."
PROC-003,Employment Record Retention,"Long-term retention of employment records for regulatory compliance",Processor (on behalf of employer clients),Legal obligation (employment law),"Full employment history, compensation records, disciplinary records, termination details",Current and former employees of client organizations,N/A (internal processing),Ireland (eu-west-1),N/A,N/A,7 years post-termination,2025-03-15,Active,Compliance,"Retention per EU employment record-keeping requirements. Former employee data archived but accessible."
PROC-004,Performance Review Management,"Facilitating performance review cycles including manager ratings, peer reviews, and self-assessments",Processor (on behalf of employer clients),Contractual necessity (client DPA),"Manager ratings, peer review scores, self-assessment responses, goal completion, development plans",Employees of client organizations,N/A (internal processing),Ireland (eu-west-1),N/A,N/A,Client contract + 90 days,2025-03-15,Active,Product,"Review cycles configured by client HR admins."
PROC-005,Employee Wellness Survey,"Voluntary wellness survey collecting self-reported wellbeing metrics",Processor (on behalf of employer clients),Consent (collected by Meridian directly from employees),"Stress levels, work-life balance scores, job satisfaction ratings, mental health indicators (self-reported)",Employees of client organizations,N/A (internal processing),Ireland (eu-west-1),N/A,N/A,12 months from survey completion,2025-03-15,Active,Product,"Meridian collects consent directly from employees via in-platform prompt. Consent form branded as Meridian HR. Results shared with employer as aggregated department-level reports only. Individual responses not shared with employer."
PROC-006,Performance Analytics Reporting,"Generating workforce performance analytics for employer client dashboards",Processor (on behalf of employer clients),Contractual necessity (client DPA),"Manager ratings, peer review scores, goal completion rates, training module completion, time-to-complete assessments",Employees of client organizations,N/A (internal processing),Ireland (eu-west-1),N/A,N/A,Client contract + 90 days,2025-03-15,Active,Data Analytics,"Reports aggregated at department level (minimum 5 employees). Aggregation threshold waived for executive-level employees per client request — individual-level reports provided for C-suite. 23 of 187 client organizations have requested executive-level individual reporting."
PROC-007,Workforce Benchmarking Analytics,"Cross-client workforce benchmarking for Meridian product improvement and market research",Controller (Meridian as independent controller),"Legitimate interest (Art. 6(1)(f))","Anonymized compensation ranges, turnover rates, engagement scores, demographic distributions, training completion rates — derived from client employee data",Anonymized profiles derived from employees of all client organizations,Snowflake Inc.,US (Snowflake infrastructure),Yes,United States,Indefinite,2025-03-15,Active,Data Science,"Aggregated data derived from client employee records — Meridian acts as independent controller for this processing. Anonymization performed before export to Snowflake. Anonymization method: suppression of direct identifiers + generalization of quasi-identifiers. Not formally validated against re-identification risk. Used for Meridian benchmarking reports sold to clients as add-on product."
PROC-008,Benefits Administration,"Health insurance enrollment, retirement plan management, beneficiary tracking",Processor (on behalf of employer clients),Contractual necessity (client DPA),"Health plan selections, dependent information, beneficiary designations, disability status",Employees and their dependents,N/A (internal processing),Ireland (eu-west-1),N/A,N/A,Client contract + 7 years (regulatory),2025-03-15,Active,Benefits Platform,"Special category data (health). Additional safeguards applied."
PROC-009,Website Analytics,"Tracking website visitor behavior for marketing optimization",Controller (Meridian),Legitimate interest (Art. 6(1)(f)),"IP address, pages viewed, session duration, referral source, device type",Website visitors,Google Analytics (Google LLC),US,Yes,United States,14 months,2025-03-15,Active,Marketing,"Standard GA4 implementation on www.meridianhr.com."
PROC-010,Sales CRM,"Managing sales pipeline and prospect relationships",Controller (Meridian),Legitimate interest (Art. 6(1)(f)),"Name, email, company, job title, phone, meeting notes, proposal history",Sales prospects and customer contacts,HubSpot Inc.,US,Yes,United States,24 months after last interaction,2025-03-15,Active,Sales,"HubSpot integration syncs with website forms and email campaigns."
PROC-011,Email Marketing,"Marketing campaigns and product update newsletters",Controller (Meridian),Consent,"Name, email, company, marketing preferences",Marketing subscribers,SendGrid (Twilio Inc.),US,Yes,United States,Until consent withdrawal,2025-03-15,Active,Marketing,"Opt-in only. Unsubscribe mechanism in every email."
PROC-012,Customer Support,"Support ticket management for client administrators",Controller (Meridian),Contractual necessity,"Name, email, phone, ticket content, platform screenshots",Customer administrators,Zendesk Inc.,EU (eu-central-1),Yes,EEA only,24 months after ticket closure,2025-03-15,Active,Customer Success,"Support for client HR admins only. Employee-level support directed to client HR."
