record_id,date,time_utc,system,os,patch_id,patch_title,severity,change_ticket,deployer,maintenance_window,result,reboot_required,reboot_time_utc,notes
PATCH-4001,2025-10-04,02:15,web-srv-01,Ubuntu 22.04,USN-7121-1,OpenSSL 3.0.15 Security Update,High,CHG-2025-3401,Maria Chen,MW-PROD-1 (Sat 02-06),Success,Yes,02:45,Patch applied and verified
PATCH-4002,2025-10-04,02:30,web-srv-02,Ubuntu 22.04,USN-7121-1,OpenSSL 3.0.15 Security Update,High,CHG-2025-3401,Maria Chen,MW-PROD-1 (Sat 02-06),Success,Yes,03:00,Patch applied and verified
PATCH-4003,2025-10-04,03:15,app-srv-01,RHEL 9.3,RHSA-2025:0412,Kernel Security Update,Medium,CHG-2025-3402,James Park,MW-PROD-1 (Sat 02-06),Success,Yes,03:45,Monthly patch cycle
PATCH-4004,2025-10-04,03:30,app-srv-02,RHEL 9.3,RHSA-2025:0412,Kernel Security Update,Medium,CHG-2025-3402,James Park,MW-PROD-1 (Sat 02-06),Success,Yes,04:00,Monthly patch cycle
PATCH-4005,2025-10-04,04:15,db-primary-01,Ubuntu 22.04,USN-7125-1,PostgreSQL 15.9 Update,Medium,CHG-2025-3403,Sarah Wu,MW-DB (Sat 04-08),Success,No,N/A,DB restart at 04:30
PATCH-4006,2025-10-04,04:45,db-replica-01,Ubuntu 22.04,USN-7125-1,PostgreSQL 15.9 Update,Medium,CHG-2025-3403,Sarah Wu,MW-DB (Sat 04-08),Success,No,N/A,Replica resynced
PATCH-4007,2025-10-05,01:30,corp-dc-01,Windows Server 2022,KB5044284,October Cumulative Update,Medium,CHG-2025-3404,Kevin Ortiz,MW-CORP (Sun 00-06),Success,Yes,02:00,AD health check passed
PATCH-4008,2025-10-05,02:15,corp-dc-02,Windows Server 2022,KB5044284,October Cumulative Update,Medium,CHG-2025-3404,Kevin Ortiz,MW-CORP (Sun 00-06),Success,Yes,02:45,AD replication verified
PATCH-4009,2025-10-08,03:00,fw-edge-01,FortiOS 7.4,FG-IR-25-003,FortiGate Firmware Update,High,CHG-2025-3410,James Park,MW-PROD-2 (Wed 02-04),Success,Yes,03:20,HA failover during update
PATCH-4010,2025-10-08,03:30,fw-edge-02,FortiOS 7.4,FG-IR-25-003,FortiGate Firmware Update,High,CHG-2025-3410,James Park,MW-PROD-2 (Wed 02-04),Success,Yes,03:50,HA pair restored
PATCH-4011,2025-10-11,02:30,cache-srv-01,Ubuntu 22.04,USN-7130-1,Redis 7.2.6 Security Update,Medium,CHG-2025-3415,Maria Chen,MW-PROD-1 (Sat 02-06),Success,No,N/A,Redis restarted at 02:45
PATCH-4012,2025-10-11,03:00,cache-srv-02,Ubuntu 22.04,USN-7130-1,Redis 7.2.6 Security Update,Medium,CHG-2025-3415,Maria Chen,MW-PROD-1 (Sat 02-06),Success,No,N/A,Redis restarted at 03:15
PATCH-4013,2025-10-15,14:22,monitoring-srv-01,Ubuntu 22.04,USN-7133-1,Grafana 10.4.1 Security Update,High,CHG-2025-3420,Kevin Ortiz,N/A,Success,No,N/A,Grafana dashboard restarted. Applied during business hours — no maintenance window.
PATCH-4014,2025-10-18,02:15,web-srv-01,Ubuntu 22.04,USN-7138-1,nginx 1.26.2 Security Update,Medium,CHG-2025-3425,Maria Chen,MW-PROD-1 (Sat 02-06),Success,No,N/A,Rolling restart
PATCH-4015,2025-10-18,02:30,web-srv-02,Ubuntu 22.04,USN-7138-1,nginx 1.26.2 Security Update,Medium,CHG-2025-3425,Maria Chen,MW-PROD-1 (Sat 02-06),Success,No,N/A,Rolling restart
PATCH-4016,2025-11-01,02:30,app-srv-01,RHEL 9.3,RHSA-2025:0498,Kernel Security Update,Medium,CHG-2025-3440,James Park,MW-PROD-1 (Sat 02-06),Success,Yes,03:00,November patch cycle
PATCH-4017,2025-11-01,03:00,app-srv-02,RHEL 9.3,RHSA-2025:0498,Kernel Security Update,Medium,CHG-2025-3440,James Park,MW-PROD-1 (Sat 02-06),Success,Yes,03:30,November patch cycle
PATCH-4018,2025-11-01,04:30,db-primary-01,Ubuntu 22.04,USN-7145-1,PostgreSQL 15.10 Update,Medium,CHG-2025-3441,Sarah Wu,MW-DB (Sat 04-08),Success,No,N/A,DB restart at 04:45
PATCH-4019,2025-11-01,05:00,db-replica-01,Ubuntu 22.04,USN-7145-1,PostgreSQL 15.10 Update,Medium,CHG-2025-3441,Sarah Wu,MW-DB (Sat 04-08),Success,No,N/A,Replica resynced
PATCH-4020,2025-11-02,01:00,corp-dc-01,Windows Server 2022,KB5045885,November Cumulative Update,Medium,CHG-2025-3442,Kevin Ortiz,MW-CORP (Sun 00-06),Success,Yes,01:30,AD health check passed
PATCH-4021,2025-11-02,01:45,corp-dc-02,Windows Server 2022,KB5045885,November Cumulative Update,Medium,CHG-2025-3442,Kevin Ortiz,MW-CORP (Sun 00-06),Success,Yes,02:15,AD replication verified
PATCH-4022,2025-11-05,03:15,fw-edge-01,FortiOS 7.4,FG-IR-25-008,FortiGate IPS Update,Medium,CHG-2025-3448,James Park,MW-PROD-2 (Wed 02-04),Success,No,N/A,IPS signatures updated
PATCH-4023,2025-11-12,10:45,jump-srv-01,Windows Server 2022,KB5045890,RDP Security Patch,Critical,CHG-2025-3455,Kevin Ortiz,N/A,Success,Yes,11:15,CRITICAL patch — applied outside maintenance window during business hours. Emergency change not approved. Deployer notes: 'Patch is critical — applied immediately upon availability.'
PATCH-4024,2025-11-15,02:30,web-srv-01,Ubuntu 22.04,USN-7152-1,Apache 2.4.63 Security Update,Medium,CHG-2025-3460,Maria Chen,MW-PROD-1 (Sat 02-06),Success,No,N/A,Rolling restart
PATCH-4025,2025-11-15,02:45,web-srv-02,Ubuntu 22.04,USN-7152-1,Apache 2.4.63 Security Update,Medium,CHG-2025-3460,Maria Chen,MW-PROD-1 (Sat 02-06),Success,No,N/A,Rolling restart
PATCH-4026,2025-11-22,03:00,cache-srv-01,Ubuntu 22.04,USN-7158-1,Redis 7.2.7 Update,Low,CHG-2025-3465,Maria Chen,MW-PROD-1 (Sat 02-06),Success,No,N/A,Minor update
PATCH-4027,2025-12-06,02:15,app-srv-01,RHEL 9.3,RHSA-2025:0567,Kernel Security Update,Medium,CHG-2025-3480,James Park,MW-PROD-1 (Sat 02-06),Success,Yes,02:45,December patch cycle
PATCH-4028,2025-12-06,02:45,app-srv-02,RHEL 9.3,RHSA-2025:0567,Kernel Security Update,Medium,CHG-2025-3480,James Park,MW-PROD-1 (Sat 02-06),Success,Yes,03:15,December patch cycle
PATCH-4029,2025-12-06,04:15,db-primary-01,Ubuntu 22.04,USN-7165-1,PostgreSQL 15.11 Update,Medium,CHG-2025-3481,Sarah Wu,MW-DB (Sat 04-08),Success,No,N/A,DB restart at 04:30
PATCH-4030,2025-12-06,04:45,db-replica-01,Ubuntu 22.04,USN-7165-1,PostgreSQL 15.11 Update,Medium,CHG-2025-3481,Sarah Wu,MW-DB (Sat 04-08),Success,No,N/A,Replica resynced
PATCH-4031,2025-12-07,01:30,corp-dc-01,Windows Server 2022,KB5046617,December Cumulative Update,Medium,CHG-2025-3482,Kevin Ortiz,MW-CORP (Sun 00-06),Success,Yes,02:00,AD health check passed
