vendor_id,vendor_name,tier,service,data_classification,soc2_report_received,soc2_report_period,soc2_review_date,soc2_review_notes,dpa_signed,onboarding_date,last_business_review,status
PD-V-001,Amazon Web Services (AWS),Critical,Cloud infrastructure,Customer PII + Internal,Yes,2024-10-01 to 2025-09-30,2025-11-20,Clean opinion. Inclusive method.,Yes,2020-04-01,2025-12-15,Active
PD-V-002,Snowflake Inc.,Critical,Data warehouse,Customer PII + analytics,Yes,2024-10-01 to 2025-09-30,2025-12-01,Clean opinion.,Yes,2022-01-15,2025-12-15,Active
PD-V-003,Stripe Inc.,Critical,Payment processing,Customer PII + financial,Yes,2024-07-01 to 2025-06-30,2025-09-15,Clean opinion. PCI DSS maintained.,Yes,2021-03-01,2025-12-15,Active
PD-V-004,Okta Inc.,Critical,Identity management,Customer PII,Yes,2024-04-01 to 2025-03-31,2025-06-25,Clean opinion.,Yes,2022-02-10,2025-12-15,Active
PD-V-005,Datadog Inc.,High,Monitoring,Internal + metadata,Yes,2024-10-01 to 2025-09-30,2025-11-15,Clean opinion.,Yes,2022-06-01,N/A,Active
PD-V-006,Twilio Inc.,High,SMS notifications,Customer phone numbers,Yes,2024-07-01 to 2025-06-30,2025-09-10,Clean opinion.,Yes,2023-01-15,N/A,Active
PD-V-007,CrowdStrike Holdings,High,Endpoint detection,Endpoint telemetry,Yes,2024-10-01 to 2025-09-30,2025-11-25,Clean opinion.,Yes,2022-07-01,N/A,Active
PD-V-008,Elastic Cloud,High,Log management and SIEM,Security event data including auth logs with user identifiers,No,N/A,N/A,Exception covers gap -- see register.,Yes,2024-01-01,N/A,Active
PD-V-009,PagerDuty Inc.,High,Incident alerting,Internal,Yes,2024-04-01 to 2025-03-31,2025-07-20,Clean opinion.,Yes,2021-09-01,N/A,Active
PD-V-010,Zendesk Inc.,High,Customer support,Customer PII,Yes,2024-04-01 to 2025-03-31,2025-08-15,Clean opinion.,Yes,2023-03-01,N/A,Active
PD-V-011,Cohere AI,Critical,LLM inference services,Customer text data,No,N/A,N/A,New vendor. SOC 2 report expected Q2 2026. Exception filed.,Yes,2025-09-01,N/A,Active
PD-V-012,Figma Inc.,Medium,Design tools,Internal only,N/A,N/A,N/A,Medium tier -- SOC 2 not required.,Yes,2023-04-01,N/A,Active
PD-V-013,Notion Labs,Medium,Documentation,Internal only,N/A,N/A,N/A,Medium tier -- questionnaire completed.,Yes,2024-01-15,N/A,Active
PD-V-014,ContractWorks,Low,Contract management,Internal contracts,N/A,N/A,N/A,Low tier -- contractual review only.,Yes,2024-05-01,N/A,Active
