timestamp,user,query_type,table,rows_returned,query_duration_ms,source_ip,query_hash,query_snippet,session_id,notes
2025-10-03T10:15:00,a.santos,SELECT,client_engagement_metrics,12500,4500,10.0.3.45,QH-001,"SELECT * FROM client_engagement_metrics WHERE quarter = 'Q4-2025'",SES-1001,Approved export EXP-Q4-2025-001
2025-10-05T14:30:00,svc-bi-dashboard,SELECT,order_summary,14800,3200,10.0.4.10,QH-002,"SELECT * FROM order_summary WHERE report_month >= '2025-10'",SES-1002,Monthly dashboard refresh
2025-10-08T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,8500,10.0.4.20,QH-003,"SELECT * FROM customer_profiles",SES-1003,Weekly ETL sync
2025-10-10T16:00:00,m.chen,SELECT,order_summary,11200,4100,10.0.3.48,QH-004,"SELECT * FROM order_summary WHERE created_date >= '2025-10-01'",SES-1004,Quarter-end analysis
2025-10-14T11:00:00,svc-bi-dashboard,SELECT,customer_profiles,15200,5200,10.0.4.10,QH-005,"SELECT * FROM customer_profiles WHERE status = 'active'",SES-1005,Dashboard active customer count
2025-10-17T15:30:00,h.nguyen,SELECT,client_engagement_metrics,10500,3800,10.0.3.52,QH-006,"SELECT * FROM client_engagement_metrics WHERE engagement_score > 0.5",SES-1006,Retention model training
2025-10-22T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,8400,10.0.4.20,QH-003,"SELECT * FROM customer_profiles",SES-1007,Weekly ETL sync
2025-10-28T10:30:00,svc-bi-dashboard,SELECT,order_summary,15200,3300,10.0.4.10,QH-002,"SELECT * FROM order_summary WHERE report_month >= '2025-10'",SES-1008,Monthly dashboard
2025-11-05T11:00:00,svc-bi-dashboard,SELECT,order_summary,14800,3200,10.0.4.10,QH-002,"SELECT * FROM order_summary WHERE report_month >= '2025-10'",SES-1009,Monthly dashboard
2025-11-07T16:00:00,a.santos,SELECT,customer_profiles,18000,6200,10.0.3.45,QH-007,"SELECT * FROM customer_profiles WHERE signup_date >= '2024-01-01'",SES-1010,Segmentation analysis
2025-11-10T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,8500,10.0.4.20,QH-003,"SELECT * FROM customer_profiles",SES-1011,Weekly ETL sync
2025-11-12T14:15:00,h.nguyen,SELECT,customer_profiles,9500,3400,10.0.3.52,QH-008,"SELECT * FROM customer_profiles ORDER BY customer_id LIMIT 9500 OFFSET 0",SES-1012,Paginated extraction — batch 1 of 8
2025-11-12T14:25:00,h.nguyen,SELECT,customer_profiles,9500,3300,10.0.3.52,QH-009,"SELECT * FROM customer_profiles ORDER BY customer_id LIMIT 9500 OFFSET 9500",SES-1012,Paginated extraction — batch 2 of 8
2025-11-12T14:35:00,h.nguyen,SELECT,customer_profiles,9500,3350,10.0.3.52,QH-010,"SELECT * FROM customer_profiles ORDER BY customer_id LIMIT 9500 OFFSET 19000",SES-1012,Paginated extraction — batch 3 of 8
2025-11-12T14:48:00,h.nguyen,SELECT,customer_profiles,9500,3280,10.0.3.52,QH-011,"SELECT * FROM customer_profiles ORDER BY customer_id LIMIT 9500 OFFSET 28500",SES-1012,Paginated extraction — batch 4 of 8
2025-11-12T15:02:00,h.nguyen,SELECT,customer_profiles,9500,3420,10.0.3.52,QH-012,"SELECT * FROM customer_profiles ORDER BY customer_id LIMIT 9500 OFFSET 38000",SES-1012,Paginated extraction — batch 5 of 8
2025-11-12T15:15:00,h.nguyen,SELECT,customer_profiles,9200,3150,10.0.3.52,QH-013,"SELECT * FROM customer_profiles ORDER BY customer_id LIMIT 9500 OFFSET 47500",SES-1012,Paginated extraction — batch 6 of 8 (partial — nearing end of table)
2025-11-12T15:28:00,h.nguyen,SELECT,customer_profiles,9500,3380,10.0.3.52,QH-014,"SELECT * FROM customer_profiles ORDER BY customer_id LIMIT 9500 OFFSET 57000",SES-1012,Paginated extraction — batch 7 of 8
2025-11-12T15:42:00,h.nguyen,SELECT,customer_profiles,9300,3100,10.0.3.52,QH-015,"SELECT * FROM customer_profiles ORDER BY customer_id LIMIT 9500 OFFSET 66500",SES-1012,Paginated extraction — batch 8 of 8 (final batch — 76000 cumulative rows)
2025-11-14T10:00:00,svc-bi-dashboard,SELECT,order_summary,15200,3300,10.0.4.10,QH-002,"SELECT * FROM order_summary WHERE report_month >= '2025-10'",SES-1013,Monthly dashboard
2025-11-18T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,8500,10.0.4.20,QH-003,"SELECT * FROM customer_profiles",SES-1014,Weekly ETL sync
2025-11-28T16:30:00,m.chen,SELECT,client_engagement_metrics,11800,4300,10.0.3.48,QH-016,"SELECT * FROM client_engagement_metrics WHERE month = '2025-11'",SES-1015,November engagement report
2025-12-01T10:00:00,svc-bi-dashboard,SELECT,order_summary,14800,3200,10.0.4.10,QH-002,"SELECT * FROM order_summary WHERE report_month >= '2025-10'",SES-1016,Monthly dashboard
2025-12-03T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,8500,10.0.4.20,QH-003,"SELECT * FROM customer_profiles",SES-1017,Weekly ETL sync
2025-12-08T16:30:00,c.mendez,SELECT,client_engagement_metrics,25000,9200,10.0.3.55,QH-017,"SELECT * FROM client_engagement_metrics INTO s3://meridian-exports/year-end-engagement/",SES-1018,"Year-end export — executed BEFORE approval EXP-Q4-2025-008 was finalized (approved Dec 11)"
2025-12-10T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,8500,10.0.4.20,QH-003,"SELECT * FROM customer_profiles",SES-1019,Weekly ETL sync
2025-12-15T11:00:00,svc-bi-dashboard,SELECT,order_summary,15200,3300,10.0.4.10,QH-002,"SELECT * FROM order_summary WHERE report_month >= '2025-10'",SES-1020,Monthly dashboard
2025-12-18T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,8500,10.0.4.20,QH-003,"SELECT * FROM customer_profiles",SES-1021,Weekly ETL sync
2025-12-22T14:30:00,a.santos,SELECT,order_summary,13200,4800,10.0.3.45,QH-018,"SELECT * FROM order_summary WHERE year = 2025",SES-1022,Year-end order analysis
2025-12-24T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,8500,10.0.4.20,QH-003,"SELECT * FROM customer_profiles",SES-1023,Weekly ETL sync
