jira_ticket,cve,severity,cvss_score,title,affected_asset,first_detected,sla_deadline,remediated_date,sla_status,days_to_remediate,days_past_sla,owner,notes
VULN-8001,CVE-2025-22224,Critical,9.3,VMware ESXi Heap Overflow RCE,esxi-prod-11,2025-09-15,2025-09-29,2025-09-28,Met,13,0,Infrastructure Engineering,Emergency patch — host evacuated
VULN-8002,CVE-2025-21298,Medium,6.8,Windows OLE RCE,corp-ws-batch,2025-10-05,2026-01-03,,Open — Within SLA,86,0,IT Operations,January patch cycle
VULN-8003,CVE-2025-0282,Critical,9.1,Ivanti Connect Secure Buffer Overflow,vpn-cluster-01,2025-10-08,2025-10-22,2025-10-10,Met,2,0,Network Engineering,Emergency patch
VULN-8004,CVE-2025-21376,High,7.5,Windows LDAP RCE,corp-dc-06,2025-10-15,2025-11-14,2025-11-08,Met,24,0,IT Operations,November maintenance window
VULN-8005,CVE-2024-50379,Medium,5.3,Apache Tomcat Request Smuggling,web-tier-04,2025-09-22,2025-12-21,2025-12-15,Met,84,0,Application Engineering,December maintenance
VULN-8006,CVE-2025-24085,Medium,5.9,macOS CoreMedia Use-After-Free,exec-mbp-09,2025-10-25,2026-01-23,,Open — Within SLA,66,0,IT Operations,macOS update pushed
VULN-8007,CVE-2025-21334,Low,3.8,Hyper-V NT Kernel VSP EoP,hyperv-cluster-04,2025-11-02,2026-05-01,,Open — Within SLA,58,0,Infrastructure Engineering,Low priority
VULN-8008,CVE-2025-21309,High,7.6,Windows RDS RCE,jump-srv-04,2025-10-22,2025-11-21,2025-10-25,Met,3,0,Security Operations,Emergency patch — RDP
VULN-8009,CVE-2024-12356,High,7.2,BeyondTrust PRA Command Injection,pam-ha-01,2025-09-28,2025-10-28,2025-10-02,Met,4,0,Security Operations,Priority PAM upgrade
VULN-8010,CVE-2025-0108,High,7.1,PAN-OS Authentication Bypass,fw-edge-03,2025-10-12,2025-11-11,2025-10-14,Met,2,0,Network Engineering,Emergency firewall patch
VULN-8011,CVE-2024-53677,Medium,5.8,Apache Struts Path Traversal,legacy-crm-02,2025-09-18,2025-12-17,,SLA Breached,103,12,Application Engineering,App retirement Q2 2026 — no risk acceptance
VULN-8012,CVE-2025-21396,Medium,4.7,Microsoft Account EoP,exchange-ha-01,2025-11-18,2026-02-16,,Open — Within SLA,42,0,IT Operations,Exchange CU January
VULN-8013,CVE-2025-21295,Medium,5.7,SPNEGO NEGOEX RCE,app-web-04,2025-11-05,2026-02-03,,Open — Within SLA,55,0,Application Engineering,Patch tested
VULN-8014,CVE-2025-21293,Low,2.8,AD DS EoP,corp-dc-05,2025-11-12,2026-05-11,,Open — Within SLA,48,0,IT Operations,AD schema Q1
VULN-8015,CVE-2025-24472,Critical,9.8,FortiOS CSF Auth Bypass,fw-branch-05,2025-10-18,2025-11-01,2025-10-20,Met,2,0,Network Engineering,Emergency patch
VULN-8016,CVE-2024-49138,Medium,6.1,Windows CLFS Driver EoP,file-srv-06,2025-10-01,2025-12-30,2025-12-20,Met,80,0,IT Operations,December patch
VULN-8017,CVE-2025-0411,Low,3.2,7-Zip MotW Bypass,dev-ws-25,2025-10-18,2026-04-16,,Open — Within SLA,73,0,Development,Low priority
VULN-8018,CVE-2024-55591,High,7.3,FortiOS Auth Bypass,fw-dmz-02,2025-10-08,2025-11-07,2025-10-10,Met,2,0,Network Engineering,Emergency upgrade
VULN-8019,CVE-2025-29824,Critical,9.0,Windows CLFS Zero-Day,dc-prod-01,2025-10-19,2025-11-02,2025-10-28,Met,9,0,IT Operations,Emergency patch — actively exploited
VULN-8020,CVE-2025-21311,Medium,4.9,Windows NTLM V1 EoP,print-srv-05,2025-10-28,2026-01-26,,Open — Within SLA,63,0,IT Operations,NTLMv1 disabled
VULN-8021,CVE-2025-21294,Medium,6.7,Digest Authentication RCE,legacy-api-03,2025-11-15,2026-02-13,,Open — Within SLA,45,0,Application Engineering,Network segmentation as compensating control
VULN-8022,CVE-2024-11680,Medium,5.2,ProjectSend Auth Bypass,dev-share-05,2025-09-28,2025-12-27,,SLA Approaching,93,0,Development,VPN-only access — migration to Artifactory planned
VULN-8023,CVE-2025-0065,Medium,4.5,TeamViewer Privilege Management,support-ws-03,2025-12-05,2026-03-05,,Open — Within SLA,25,0,IT Operations,Awaiting vendor patch release
VULN-8024,CVE-2024-10914,Low,3.6,D-Link NAS Command Injection,nas-dev-02,2025-08-25,2026-02-21,,Open — Within SLA,127,0,IT Operations,Isolated VLAN — hardware replacement Q1 2026
VULN-8025,CVE-2025-21355,Low,2.5,Microsoft Bing RCE,corp-ws-38,2025-12-10,2026-06-08,,Open — Within SLA,20,0,IT Operations,Bing integration disabled on all endpoints
VULN-8026,CVE-2024-43451,Low,3.9,NTLM Hash Disclosure Spoofing,file-srv-04,2025-09-05,2026-03-04,2025-10-15,Met,40,0,IT Operations,October patch cycle
VULN-8027,CVE-2025-21391,Medium,5.5,Windows Installer EoP,web-proxy-04,2025-10-12,2026-01-10,,Open — Within SLA,79,0,Platform Engineering,January maintenance window
