backup_id,date,start_time_utc,end_time_utc,type,target_system,status,size_gb,checksum_verified,operator,notes
BKP-2025-1001,2025-10-01,02:00:10,03:45:22,full,oc-db-prod-01,success,145.8,true,automated,
BKP-2025-1002,2025-10-02,02:00:14,03:47:35,full,oc-db-prod-01,success,146.2,true,automated,
BKP-2025-1003,2025-10-03,02:00:08,03:49:18,full,oc-db-prod-01,success,146.7,true,automated,
BKP-2025-1004,2025-10-04,02:00:16,03:48:02,full,oc-db-prod-01,success,147.1,true,automated,
BKP-2025-1005,2025-10-05,02:00:12,03:50:40,full,oc-db-prod-01,success,147.6,true,automated,
BKP-2025-1006,2025-10-06,02:00:19,03:49:15,full,oc-db-prod-01,success,148.0,true,automated,
BKP-2025-1007,2025-10-07,02:00:07,03:51:52,full,oc-db-prod-01,success,148.5,true,automated,
BKP-2025-1008,2025-10-08,02:00:15,03:50:28,full,oc-db-prod-01,success,148.9,true,automated,
BKP-2025-1009,2025-10-09,02:00:11,03:53:05,full,oc-db-prod-01,success,149.4,true,automated,
BKP-2025-1010,2025-10-10,02:00:20,03:51:40,full,oc-db-prod-01,success,149.8,true,automated,
BKP-2025-1011,2025-10-11,02:00:09,03:54:18,full,oc-db-prod-01,success,150.3,true,automated,
BKP-2025-1012,2025-10-12,02:00:17,03:52:52,full,oc-db-prod-01,success,150.7,true,automated,
BKP-2025-1013,2025-10-13,02:00:13,03:55:30,full,oc-db-prod-01,success,151.2,true,automated,
BKP-2025-1014,2025-10-14,02:00:21,03:54:05,full,oc-db-prod-01,success,151.6,true,automated,
BKP-2025-1015,2025-10-15,02:00:08,03:56:42,full,oc-db-prod-01,success,152.1,true,automated,
BKP-2025-1016,2025-10-16,02:00:16,03:55:18,full,oc-db-prod-01,success,152.5,true,automated,
BKP-2025-1017,2025-10-17,02:00:12,03:57:55,full,oc-db-prod-01,success,153.0,true,automated,
BKP-2025-1018,2025-10-18,02:00:19,03:56:30,full,oc-db-prod-01,success,153.4,true,automated,
BKP-2025-1019,2025-10-19,02:00:07,03:59:08,full,oc-db-prod-01,success,153.9,true,automated,
BKP-2025-1020,2025-10-20,02:00:14,03:57:42,full,oc-db-prod-01,success,154.3,true,automated,
BKP-2025-1021,2025-10-21,02:00:22,04:00:20,full,oc-db-prod-01,success,154.8,true,automated,
BKP-2025-1022,2025-10-22,02:00:10,02:18:45,full,oc-db-prod-01,failure,8.2,false,automated,Storage controller firmware crash on backup target oc-bkp-vol-02. Controller unresponsive. Vendor support engaged. No re-run executed -- see exception register EXC-2025-051.
BKP-2025-1023,2025-10-23,02:00:15,04:01:55,full,oc-db-prod-01,success,155.7,true,automated,
BKP-2025-1024,2025-10-24,02:00:11,04:00:30,full,oc-db-prod-01,success,156.1,true,automated,
BKP-2025-1025,2025-10-25,02:00:18,04:03:08,full,oc-db-prod-01,success,156.6,true,automated,
BKP-2025-1026,2025-10-26,02:00:09,04:01:42,full,oc-db-prod-01,success,157.0,true,automated,
BKP-2025-1027,2025-10-27,02:00:16,04:04:20,full,oc-db-prod-01,success,157.5,true,automated,
BKP-2025-1028,2025-10-28,02:00:13,04:02:55,full,oc-db-prod-01,success,157.9,true,automated,
BKP-2025-1029,2025-10-29,02:00:20,04:05:32,full,oc-db-prod-01,success,158.4,true,automated,
BKP-2025-1030,2025-10-30,02:00:08,04:04:08,full,oc-db-prod-01,success,158.8,true,automated,
BKP-2025-1031,2025-10-31,02:00:14,04:06:45,full,oc-db-prod-01,success,159.3,true,automated,
BKP-2025-1101,2025-11-01,02:00:21,04:05:20,full,oc-db-prod-01,success,159.7,true,automated,
BKP-2025-1102,2025-11-02,02:00:10,04:07:58,full,oc-db-prod-01,success,160.2,true,automated,
BKP-2025-1103,2025-11-03,02:00:17,04:06:32,full,oc-db-prod-01,success,160.6,true,automated,
BKP-2025-1104,2025-11-04,02:00:12,04:09:10,full,oc-db-prod-01,success,161.1,true,automated,
BKP-2025-1105,2025-11-05,02:00:19,04:07:45,full,oc-db-prod-01,success,161.5,true,automated,
BKP-2025-1106,2025-11-06,02:00:08,04:10:22,full,oc-db-prod-01,success,162.0,true,automated,
BKP-2025-1107,2025-11-07,02:00:15,04:08:58,full,oc-db-prod-01,success,162.4,true,automated,
BKP-2025-1108,2025-11-08,02:00:22,04:11:35,full,oc-db-prod-01,success,162.9,true,automated,
BKP-2025-1109,2025-11-09,02:00:11,04:10:10,full,oc-db-prod-01,success,163.3,true,automated,
BKP-2025-1110,2025-11-10,02:00:18,04:12:48,full,oc-db-prod-01,success,163.8,true,automated,
BKP-2025-1111,2025-11-11,02:00:09,04:11:22,full,oc-db-prod-01,success,164.2,true,automated,
BKP-2025-1112,2025-11-12,02:00:16,04:14:00,full,oc-db-prod-01,success,164.7,true,automated,
BKP-2025-1113,2025-11-13,02:00:13,04:12:35,full,oc-db-prod-01,success,165.1,true,automated,
BKP-2025-1114,2025-11-14,02:00:20,04:15:12,full,oc-db-prod-01,success,165.6,true,automated,
BKP-2025-1115,2025-11-15,02:00:07,04:13:48,full,oc-db-prod-01,success,166.0,true,automated,
BKP-2025-1116,2025-11-16,02:00:14,04:16:25,full,oc-db-prod-01,success,166.5,true,automated,
BKP-2025-1117,2025-11-17,02:00:21,04:14:58,full,oc-db-prod-01,success,166.9,true,automated,
BKP-2025-1118,2025-11-18,02:00:10,04:17:38,full,oc-db-prod-01,success,167.4,true,automated,
BKP-2025-1119,2025-11-19,02:00:17,04:16:12,full,oc-db-prod-01,success,167.8,true,automated,
BKP-2025-1120,2025-11-20,02:00:08,04:18:50,full,oc-db-prod-01,success,168.3,true,automated,
BKP-2025-1121,2025-11-21,02:00:15,04:17:25,full,oc-db-prod-01,success,168.7,true,automated,
BKP-2025-1122,2025-11-22,02:00:22,04:20:02,full,oc-db-prod-01,success,169.2,true,automated,
BKP-2025-1123,2025-11-23,02:00:11,04:18:38,full,oc-db-prod-01,success,169.6,true,automated,
BKP-2025-1124,2025-11-24,02:00:18,04:21:15,full,oc-db-prod-01,success,170.1,true,automated,
BKP-2025-1125,2025-11-25,02:00:09,04:19:50,full,oc-db-prod-01,success,170.5,true,automated,
BKP-2025-1126,2025-11-26,02:00:16,04:22:28,full,oc-db-prod-01,success,171.0,true,automated,
BKP-2025-1127,2025-11-27,02:00:13,04:21:02,full,oc-db-prod-01,success,171.4,true,automated,
BKP-2025-1128,2025-11-28,02:00:20,02:35:18,full,oc-db-prod-01,failure,14.8,false,automated,Network timeout to backup target us-west-2. Cross-region link degraded.
BKP-2025-1128R,2025-11-28,04:10:30,05:52:15,full,oc-db-prod-01,success,171.9,false,m.santos,Re-run after network restored. Checksum verification skipped to meet maintenance window deadline.
BKP-2025-1129,2025-11-29,02:00:10,04:22:38,full,oc-db-prod-01,success,172.3,true,automated,
BKP-2025-1130,2025-11-30,02:00:17,04:21:12,full,oc-db-prod-01,success,172.8,true,automated,
BKP-2025-1201,2025-12-01,02:00:14,04:24:50,full,oc-db-prod-01,success,173.2,true,automated,
BKP-2025-1202,2025-12-02,02:00:21,04:23:25,full,oc-db-prod-01,success,173.7,true,automated,
BKP-2025-1203,2025-12-03,02:00:08,04:26:02,full,oc-db-prod-01,success,174.1,true,automated,
BKP-2025-1204,2025-12-04,02:00:15,04:24:38,full,oc-db-prod-01,success,174.6,true,automated,
BKP-2025-1205,2025-12-05,02:00:12,04:27:15,full,oc-db-prod-01,success,175.0,true,automated,
BKP-2025-1206,2025-12-06,02:00:19,04:25:50,full,oc-db-prod-01,success,175.5,true,automated,
BKP-2025-1207,2025-12-07,02:00:09,04:28:28,full,oc-db-prod-01,success,175.9,true,automated,
BKP-2025-1208,2025-12-08,02:00:16,04:27:02,full,oc-db-prod-01,success,176.4,true,automated,
BKP-2025-1209,2025-12-09,02:00:13,04:29:40,full,oc-db-prod-01,success,176.8,true,automated,
BKP-2025-1210,2025-12-10,02:00:20,04:28:15,full,oc-db-prod-01,success,177.3,true,automated,
BKP-2025-1211,2025-12-11,02:00:07,04:30:52,full,oc-db-prod-01,success,177.7,true,automated,
BKP-2025-1212,2025-12-12,02:00:14,04:29:28,full,oc-db-prod-01,success,178.2,true,automated,
BKP-2025-1213,2025-12-13,02:00:21,04:32:05,full,oc-db-prod-01,success,178.6,true,automated,
BKP-2025-1214,2025-12-14,02:00:11,02:47:30,full,oc-db-prod-01,failure,22.1,false,automated,TLS certificate expired on backup target oc-bkp-target-02. Connection refused. Alert sent 02:48 UTC.
BKP-2025-1214R,2025-12-14,10:18:25,12:05:48,full,oc-db-prod-01,success,179.5,true,k.peterson,Delayed re-run -- on-call engineer did not have access to certificate renewal process. Required escalation to security team. TLS cert renewed at 09:45 UTC.
BKP-2025-1215,2025-12-15,02:00:18,04:33:42,full,oc-db-prod-01,success,179.9,true,automated,
BKP-2025-1216,2025-12-16,02:00:09,04:32:18,full,oc-db-prod-01,success,180.4,true,automated,
BKP-2025-1217,2025-12-17,02:00:15,04:34:55,full,oc-db-prod-01,success,180.8,true,automated,
BKP-2025-1218,2025-12-18,02:00:22,04:33:30,full,oc-db-prod-01,success,181.3,true,automated,
BKP-2025-1219,2025-12-19,02:00:10,04:36:08,full,oc-db-prod-01,success,181.7,true,automated,
BKP-2025-1220,2025-12-20,02:00:17,04:34:42,full,oc-db-prod-01,success,182.2,true,automated,
BKP-2025-1221,2025-12-21,02:00:13,04:37:20,full,oc-db-prod-01,success,182.6,true,automated,
BKP-2025-1222,2025-12-22,02:00:20,04:35:55,full,oc-db-prod-01,success,183.1,true,automated,
BKP-2025-1223,2025-12-23,02:00:08,04:38:32,full,oc-db-prod-01,success,183.5,true,automated,
BKP-2025-1224,2025-12-24,02:00:14,04:37:08,full,oc-db-prod-01,success,184.0,true,automated,
BKP-2025-1225,2025-12-25,02:00:21,04:39:45,full,oc-db-prod-01,success,184.4,true,automated,
BKP-2025-1226,2025-12-26,02:00:11,04:38:20,full,oc-db-prod-01,success,184.9,true,automated,
BKP-2025-1227,2025-12-27,02:00:18,04:40:58,full,oc-db-prod-01,success,185.3,true,automated,
BKP-2025-1228,2025-12-28,02:00:09,04:39:32,full,oc-db-prod-01,success,185.8,true,automated,
BKP-2025-1229,2025-12-29,02:00:16,04:42:10,full,oc-db-prod-01,success,186.2,true,automated,
BKP-2025-1230,2025-12-30,02:00:13,04:40:45,full,oc-db-prod-01,success,186.7,true,automated,
BKP-2025-1231,2025-12-31,02:00:20,04:43:22,full,oc-db-prod-01,success,187.1,true,automated,
