processing_id,processing_activity,purpose,legal_basis,data_categories,data_subjects,processor_type,processor_name,processor_location,dpa_signed,dpa_date,transfer_destination,transfer_safeguard,retention_period,last_reviewed,status,owner
PROC-001,Account Registration,Service delivery and user authentication,Contractual necessity (Art. 6(1)(b)),"Full name, email, company name, job title, password hash",Customers and end users,Internal,Helix Software GmbH,Germany (eu-central-1),N/A,N/A,N/A,N/A,Active account + 24 months,2025-01-15,Active,Engineering
PROC-002,Payment Processing,Subscription billing and invoicing,Contractual necessity (Art. 6(1)(b)),"Billing address, VAT number, payment method token",Customers (billing contacts),Third-party processor,Stripe Inc.,Ireland (eu-west-1),Yes,2023-06-01,EEA only,N/A - no transfer outside EEA,Active subscription + 7 years (tax),2025-01-15,Active,Finance
PROC-003,Customer Support,Responding to support requests,Contractual necessity (Art. 6(1)(b)),"Name, email, support ticket content, attachments",Customers and end users,Internal,Helix Software GmbH,Germany (eu-central-1),N/A,N/A,N/A,N/A,Ticket closure + 24 months,2025-01-15,Active,Customer Success
PROC-004,Platform Security Monitoring,Threat detection and incident response,Legitimate interest (Art. 6(1)(f)),"IP addresses, login timestamps, user agent strings, authentication events",All platform users,Internal,Helix Software GmbH,Germany (eu-central-1),N/A,N/A,N/A,N/A,90 days rolling,2025-01-15,Active,Security
PROC-005,Application Logging,System reliability and debugging,Legitimate interest (Art. 6(1)(f)),"API request metadata, error traces, user IDs, IP addresses",All platform users,Internal,Helix Software GmbH,Ireland (eu-west-1),N/A,N/A,N/A,N/A,12 months,2025-01-15,Active,Engineering - SRE
PROC-006,Backup and Disaster Recovery,Business continuity,Legitimate interest (Art. 6(1)(f)),All personal data categories (encrypted),All data subjects,Internal,Helix Software GmbH,"Germany (eu-central-1), Ireland (eu-west-1)",N/A,N/A,N/A,N/A,Primary retention + 90 days,2025-01-15,Active,Engineering - Infrastructure
PROC-007,Cookie Consent Management,Recording and respecting user consent choices,Consent (Art. 6(1)(a)),"Consent preferences, IP address (truncated), consent timestamp",Website visitors,Third-party processor,OneTrust LLC,Ireland (eu-west-1),Yes,2024-01-10,EEA only,N/A - no transfer outside EEA,24 months from last visit,2025-01-15,Active,Privacy Team
PROC-008,Product Analytics and Behavioral Tracking,Product improvement and feature adoption analysis,Legitimate interest (Art. 6(1)(f)),"User ID, session ID, IP address, device fingerprint, feature usage events, page views, click paths, time-on-page",All platform users,Third-party processor,Amplitude Inc.,United States (us-east-1),Yes,2024-03-15,United States,Standard Contractual Clauses (2021),Indefinite (no deletion policy configured),2024-03-15,Active,Engineering - Data
PROC-009,Transactional Email Delivery,Sending system notifications and account communications,Contractual necessity (Art. 6(1)(b)),"Email addresses, recipient names, email subject lines, email body content, delivery status",Customers and end users,Third-party processor,SendGrid (Twilio Inc.),Ireland (eu-west-1),Yes,2023-09-01,EEA only,N/A - no transfer outside EEA,30 days after delivery,2025-01-15,Active,Engineering - Platform
PROC-010,Customer Relationship Management,Sales pipeline management and customer success tracking,Legitimate interest (Art. 6(1)(f)),"Customer name, email, company, job title, subscription tier, usage_metrics, support_history, renewal dates, NPS scores",Customers (primary contacts),Third-party processor,Salesforce Inc.,Germany (eu-central-1),Yes,2024-06-01,EEA only,N/A - Salesforce Hyperforce EU,Active customer + 36 months,2024-06-01,Active,Sales
PROC-011,HR and Payroll,Employee administration,Legal obligation (Art. 6(1)(c)),"Employee PII, salary, tax information, benefits",Employees,Third-party processor,Personio SE,Germany,Yes,2023-01-15,EEA only,N/A,Employment + 10 years (German tax law),2025-01-15,Active,People Operations
