processing_id,processing_activity,purpose,legal_basis,data_categories,data_subjects,data_source,processor_type,processor_name,processor_location,dpa_signed,transfer_destination,retention_period,last_reviewed,status,owner,notes
PROC-001,Insurance Application Processing,"Collecting and processing insurance applications for motor, home, and health products",Contractual necessity (Art. 6(1)(b)),"Name, DOB, address, email, phone, property details, vehicle details, coverage requirements",Applicants and policyholders,Data subject (direct),Internal,Solaris Insurance Ltd,Ireland (eu-west-1),N/A,N/A,Active policy + 12 months,2025-04-15,Active,Underwriting,"Standard application intake across all product lines."
PROC-002,Policy Administration,"Ongoing policy management including renewals, endorsements, and cancellations",Contractual necessity (Art. 6(1)(b)),"Policy details, coverage amounts, premium history, endorsement records, renewal dates",Policyholders,Internal systems,Internal,Solaris Insurance Ltd,Ireland (eu-west-1),N/A,N/A,Active policy + 12 months,2025-04-15,Active,Operations,"Automated renewal processing 30 days before expiry."
PROC-003,Claims Processing,"Adjudicating claims including documentation review, loss adjustment, and settlement",Contractual necessity (Art. 6(1)(b)),"Claim details, incident descriptions, supporting documents, witness statements, police reports, medical reports, repair estimates",Claimants and third-party claimants,Data subject + third parties,Internal + third-party adjusters,Solaris + contracted loss adjusters,Ireland,Yes (adjusters),N/A,10 years after claim closure,2025-04-15,Active,Claims,"Third-party adjusters used for claims exceeding EUR 25,000."
PROC-004,Health Risk Assessment,"Processing health questionnaire responses for health insurance underwriting",Contractual necessity (Art. 6(1)(b)),"Self-reported medical conditions, prescription medications, smoking status, BMI, family medical history, alcohol consumption, exercise frequency",Health insurance applicants,Data subject (direct),Internal,Solaris Insurance Ltd,Ireland (eu-west-1),N/A,N/A,Active policy + 12 months; declined applications 24 months,2025-04-15,Active,Underwriting,"Health data collected via in-app questionnaire. No medical examinations required for standard applications. Data used as input to automated underwriting model."
PROC-005,Fraud Detection,"Monitoring claims and applications for fraud indicators",Legitimate interest (Art. 6(1)(f)),"All application and claims data, IP addresses, device fingerprints, behavioral analytics, cross-referencing with claims databases",Applicants and claimants,Internal systems + third-party databases,Internal,Solaris Insurance Ltd,Ireland (eu-west-1),N/A,N/A,See footnote in retention schedule,2025-04-15,Active,Fraud Team,"Real-time fraud scoring on claims submission. Retrospective analysis on historical claims data."
PROC-006,External Risk Data — Motor Vehicle Records and Claims History,"Obtaining driving records and prior claims history from LexisNexis for motor insurance underwriting",Legitimate interest (Art. 6(1)(f)),"Motor vehicle records (driving offences, licence status, penalty points), claims history (CLUE report — 5-year loss history), property records (for home insurance), identity verification scores",Motor and home insurance applicants,Third-party source (LexisNexis),Third-party data provider,LexisNexis Risk Solutions,Ireland (EU operations),Yes,EEA only,Retained with application — same as PROC-001,2025-04-15,Active,Underwriting,"Data obtained at point of quote. Applicant is informed during quote flow: 'We may verify information with external databases.' No specific mention of LexisNexis or data types obtained. Data used as input to automated underwriting."
PROC-007,External Risk Data — Credit Assessment,"Obtaining credit scores and financial indicators from TransUnion for risk assessment",Legitimate interest (Art. 6(1)(f)),"Credit score, credit history summary (length of history, number of accounts), payment behavior indicators (late payments, defaults), bankruptcy and insolvency records",All insurance applicants,Third-party source (TransUnion),Third-party data provider,TransUnion Ireland,Ireland,Yes,EEA only,Retained with application — same as PROC-001,2025-04-15,Active,Underwriting,"Soft credit check (does not appear on applicant's credit report). Performed at quote stage. Applicant informed: 'We may carry out a credit check as part of our assessment.' No specific mention of TransUnion or data types obtained."
PROC-008,Automated Underwriting Decision Engine,"Machine learning model processing application data to generate risk scores, premium calculations, and coverage eligibility decisions",Contractual necessity (Art. 6(1)(b)) + Legitimate interest (fraud indicators),"All PROC-001, PROC-004, PROC-006, PROC-007 data combined into feature vector for ML model. Outputs: risk_score (0-1000), premium_amount, coverage_decision (approve/conditional/decline), decline_reason_codes",All applicants,Internal systems (aggregation of PROC-001 through PROC-007),Internal,Solaris Insurance Ltd,Ireland (eu-west-1),N/A,N/A,Model decisions retained with application,2025-04-15,Active,Data Science,"Solely automated processing. No human review before initial decision. Human review available on appeal (applicant must request). Approximately 12% of applications declined by model. Model retrained quarterly on historical data. SHAP-based explainability available in underwriting dashboard."
PROC-009,Reinsurance Data Sharing,"Sharing policy and claims data with reinsurance counterparties",Legal obligation (reinsurance treaty),"Policy details, claims data, aggregate loss experience, individual large loss reports",Policyholders and claimants,Internal systems,Third-party,Munich Re + Swiss Re,Germany + Switzerland,Yes,EEA + Switzerland (adequacy),Treaty duration + 10 years,2025-04-15,Active,Finance,"Data shared per reinsurance treaty obligations. Individual claim data shared for claims exceeding EUR 100,000."
PROC-010,Marketing Communications,"Email marketing campaigns for renewal reminders, cross-sell, and product launches",Consent (Art. 6(1)(a)),"Name, email, policy type, renewal date",Policyholders and prospects,Internal systems,Third-party processor,SendGrid (Twilio Inc.),US,Yes,United States (SCCs),Until consent withdrawal + 12 months,2025-04-15,Active,Marketing,"Opt-in consent collected at application. Unsubscribe in every email."
