# Environmental Monitoring Log — Q4 2025
# Server Room, Atlas Cloud Services, Suite 420
# Sensor Calibration Status:
#   TEMP-01 (North Wall): Last calibrated 2025-10-10, Next due 2026-04-10 — CURRENT
#   TEMP-02 (South Wall): Last calibrated 2025-04-15, Next due 2025-10-15 — OVERDUE (77 days as of Dec 31)
#   HUM-01 (North Wall): Last calibrated 2025-10-10, Next due 2026-04-10 — CURRENT
#   HUM-02 (South Wall): Last calibrated 2025-04-15, Next due 2025-10-15 — OVERDUE (77 days as of Dec 31)
reading_id,timestamp,sensor_id,sensor_location,measurement_type,value,unit,status,alert_triggered,notes
ENV-1001,2025-10-01 00:00:00,TEMP-01,North Wall,Temperature,71.2,°F,Normal,No,
ENV-1002,2025-10-01 00:00:00,TEMP-02,South Wall,Temperature,71.8,°F,Normal,No,
ENV-1003,2025-10-01 00:00:00,HUM-01,North Wall,Humidity,43.2,%,Normal,No,
ENV-1004,2025-10-01 00:00:00,HUM-02,South Wall,Humidity,44.1,%,Normal,No,
ENV-1005,2025-10-01 06:00:00,TEMP-01,North Wall,Temperature,71.5,°F,Normal,No,
ENV-1006,2025-10-01 06:00:00,TEMP-02,South Wall,Temperature,72.0,°F,Normal,No,
ENV-1007,2025-10-01 12:00:00,TEMP-01,North Wall,Temperature,72.1,°F,Normal,No,
ENV-1008,2025-10-01 12:00:00,TEMP-02,South Wall,Temperature,72.5,°F,Normal,No,
ENV-1009,2025-10-01 12:00:00,HUM-01,North Wall,Humidity,42.8,%,Normal,No,
ENV-1010,2025-10-01 12:00:00,HUM-02,South Wall,Humidity,43.5,%,Normal,No,
ENV-1011,2025-10-01 18:00:00,TEMP-01,North Wall,Temperature,71.8,°F,Normal,No,
ENV-1012,2025-10-01 18:00:00,TEMP-02,South Wall,Temperature,72.2,°F,Normal,No,
ENV-1013,2025-10-07 00:00:00,TEMP-01,North Wall,Temperature,71.0,°F,Normal,No,
ENV-1014,2025-10-07 00:00:00,TEMP-02,South Wall,Temperature,71.5,°F,Normal,No,
ENV-1015,2025-10-07 00:00:00,HUM-01,North Wall,Humidity,43.5,%,Normal,No,
ENV-1016,2025-10-07 00:00:00,HUM-02,South Wall,Humidity,44.2,%,Normal,No,
ENV-1017,2025-10-07 12:00:00,TEMP-01,North Wall,Temperature,72.3,°F,Normal,No,
ENV-1018,2025-10-07 12:00:00,TEMP-02,South Wall,Temperature,72.8,°F,Normal,No,
ENV-1019,2025-10-14 00:00:00,TEMP-01,North Wall,Temperature,71.2,°F,Normal,No,
ENV-1020,2025-10-14 12:00:00,TEMP-02,South Wall,Temperature,72.4,°F,Normal,No,
ENV-1021,2025-10-14 12:00:00,HUM-01,North Wall,Humidity,43.0,%,Normal,No,
ENV-1022,2025-10-14 12:00:00,HUM-02,South Wall,Humidity,43.8,%,Normal,No,
ENV-1023,2025-10-21 00:00:00,TEMP-01,North Wall,Temperature,71.4,°F,Normal,No,
ENV-1024,2025-10-21 12:00:00,TEMP-02,South Wall,Temperature,72.1,°F,Normal,No,
