alert_id,date,service,severity,alert_type,acknowledged_at,response_time_min,sla_met,resolution,notes
ALT-Q4-001,2025-10-01,marketplace-api,P2,error_rate_spike,2025-10-01T08:15:00Z,8,Yes,True Positive — deployment rollback,v3.14.2 had regression in cart API
ALT-Q4-002,2025-10-03,user-auth,P1,brute_force_detected,2025-10-03T02:33:00Z,3,Yes,True Positive — IP blocked,Credential stuffing from 3 IP ranges
ALT-Q4-003,2025-10-05,payment-gateway,P2,latency_anomaly,2025-10-05T14:22:00Z,11,Yes,False Positive — Stripe API slowdown,External dependency latency — not Zenith issue
ALT-Q4-004,2025-10-08,order-management,P3,auth_failure_threshold,2025-10-08T09:45:00Z,35,Yes,True Positive — misconfigured service account,Service account password rotation missed
ALT-Q4-005,2025-10-12,search-engine,P2,error_rate_spike,2025-10-12T11:08:00Z,12,Yes,True Positive — Elasticsearch OOM,Cluster scaled up
ALT-Q4-006,2025-10-15,marketplace-api,P1,data_exfiltration,2025-10-15T19:42:00Z,4,Yes,False Positive — large legitimate export,Enterprise customer bulk export via API
ALT-Q4-007,2025-10-20,analytics-pipeline,P3,availability,2025-10-20T06:12:00Z,48,Yes,True Positive — batch job hung,Restarted Spark job
ALT-Q4-008,2025-10-25,seller-portal,P2,auth_failure_threshold,2025-10-25T16:30:00Z,9,Yes,True Positive — seller account compromise attempt,Account locked and seller notified
ALT-Q4-009,2025-11-01,user-auth,P1,impossible_travel,2025-11-01T03:15:00Z,2,Yes,True Positive — compromised credential,Password reset forced + session revoked
ALT-Q4-010,2025-11-05,notification-hub,P3,error_rate_spike,2025-11-05T10:30:00Z,52,Yes,False Positive — SMS provider outage,Twilio degradation
ALT-Q4-011,2025-11-08,marketplace-api,P2,latency_anomaly,2025-11-08T20:45:00Z,14,Yes,True Positive — database connection exhaustion,Connection pool increased
ALT-Q4-012,2025-11-12,payment-gateway,P1,transaction_anomaly,2025-11-12T15:20:00Z,3,Yes,True Positive — fraudulent transaction pattern,Blocked + escalated to fraud team
ALT-Q4-013,2025-11-18,fraud-detection-sidecar,N/A,N/A,N/A,N/A,N/A,N/A,No alerts — service not monitored by Datadog
ALT-Q4-014,2025-11-22,product-catalog,P3,availability,2025-11-22T07:55:00Z,40,Yes,True Positive — pod restart loop,Image pull fix
ALT-Q4-015,2025-11-28,order-management,P2,error_rate_spike,2025-11-28T12:10:00Z,18,No,True Positive — Black Friday traffic surge,"Response time: 18 min (SLA: 15 min). On-call handling concurrent P1 from user-auth."
ALT-Q4-016,2025-11-28,user-auth,P1,brute_force_detected,2025-11-28T12:02:00Z,4,Yes,True Positive — Black Friday credential stuffing,Automated WAF block engaged
ALT-Q4-017,2025-12-02,webhook-dispatcher,P3,error_rate_spike,2025-12-02T09:18:00Z,45,Yes,False Positive — partner endpoint maintenance,Retry queue cleared automatically
ALT-Q4-018,2025-12-08,recommendation-engine-v2,P2,error_rate_spike,2025-12-08T16:40:00Z,13,Yes,True Positive — model loading failure,Model cache warmed
ALT-Q4-019,2025-12-15,marketplace-api,P1,data_exfiltration,2025-12-15T22:15:00Z,6,No,True Positive — API scraping detected,"Response time: 6 min (SLA: 5 min). 1 min over SLA. Rate limiting applied."
ALT-Q4-020,2025-12-22,inventory-service,P3,latency_anomaly,2025-12-22T14:30:00Z,55,Yes,False Positive — year-end inventory reconciliation batch,Expected seasonal pattern
