vendor_id,vendor_name,report_period,review_date,reviewer,opinion,subservice_orgs_in_report,subservice_method,cuecs,notes
NB-V-001,Amazon Web Services (AWS),2024-10-01 to 2025-09-30,2025-11-10,Karen Lee,Unqualified,N/A,N/A,"IAM policy configuration; encryption key management",Clean report. No changes from prior year.
NB-V-002,Snowflake Inc.,2024-10-01 to 2025-09-30,2025-11-22,Karen Lee,Unqualified,"AWS (inclusive), Azure (carve-out)",Inclusive for AWS; Carve-out for Azure,"Role-based access provisioning; network access controls","Azure carve-out identified. Need to schedule independent assessment. Note: vendor inventory only shows AWS -- needs update to include Azure. Vendor notified us of Azure addition on Jul 20 2025 (SCN-2025-001)."
NB-V-003,Stripe Inc.,2024-07-01 to 2025-06-30,2025-09-15,Jason Mitchell,Unqualified,"AWS (inclusive), GCP (carve-out)",Inclusive for AWS; Carve-out for GCP,"API key security; PCI compliance maintenance","GCP carve-out assessed via NovaBridge direct GCP relationship and GCP SOC 2 report review completed May 2025."
NB-V-004,Okta Inc.,2024-04-01 to 2025-03-31,2025-06-28,Karen Lee,Unqualified,AWS (inclusive),Inclusive,"MFA enforcement; session timeout configuration",Clean report.
NB-V-005,Datadog Inc.,2024-10-01 to 2025-09-30,2025-11-18,Jason Mitchell,Unqualified,"AWS (inclusive), GCP (inclusive)",Inclusive for both,"Agent deployment configuration","GCP now inclusive (previously carve-out). No independent assessment needed."
NB-V-006,CrowdStrike Holdings,2024-10-01 to 2025-09-30,2025-11-25,Jason Mitchell,Unqualified,"AWS (inclusive), Azure (inclusive)",Inclusive for both,"Endpoint agent deployment","Azure added as inclusive. Covered by CrowdStrike report."
NB-V-007,Twilio Inc.,2024-07-01 to 2025-06-30,2025-09-20,Karen Lee,Unqualified,AWS (inclusive),Inclusive,"API credential management",Clean report. No changes.
NB-V-008,Segment (Twilio),2024-07-01 to 2025-06-30,2025-11-15,Karen Lee,Unqualified,GCP (inclusive),Inclusive,"Data schema configuration; event filtering","IMPORTANT: Vendor inventory shows AWS as subservice org but SOC 2 report lists GCP. Segment migrated from AWS to GCP in August 2025. No change notification was received from Segment. Vendor inventory needs update. Escalated to Robert Tanaka (CISO) on Nov 18 2025. CISO response: 'Contact Segment account team to understand why notification was not provided. This is a contractual breach of Section 5.'"
NB-V-009,PagerDuty Inc.,2024-04-01 to 2025-03-31,2025-07-10,Jason Mitchell,Unqualified,AWS (inclusive),Inclusive,None,Clean report.
NB-V-010,Zendesk Inc.,2024-04-01 to 2025-03-31,2025-08-08,Karen Lee,Unqualified,AWS (inclusive),Inclusive,"Ticket data retention configuration",Clean report.
