endpoint,hostname,port,protocol_version,cipher_suite,environment,data_classification,contains_pii,hsts_enabled,last_scan,owner,notes
api.bridgeportft.com,prod-api-01,443,TLS 1.3,TLS_AES_256_GCM_SHA384,Production,Restricted,Yes,Yes,2025-12-22,Platform Team,Primary customer API
app.bridgeportft.com,prod-web-01,443,TLS 1.3,TLS_AES_256_GCM_SHA384,Production,Restricted,Yes,Yes,2025-12-22,Platform Team,Customer portal
payments.bridgeportft.com,prod-pay-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Production,Restricted,Yes,Yes,2025-12-22,Payments Team,Payment processing
admin.bridgeportft.com,prod-admin-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Production,Confidential,No,Yes,2025-12-22,Platform Team,Admin dashboard
webhooks.bridgeportft.com,prod-hook-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Production,Confidential,No,Yes,2025-12-22,Platform Team,Webhook delivery
status.bridgeportft.com,prod-status-01,443,TLS 1.3,TLS_AES_256_GCM_SHA384,Production,Public,No,Yes,2025-12-22,SRE Team,Public status page
docs.bridgeportft.com,prod-docs-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Production,Public,No,Yes,2025-12-22,Documentation,Public API documentation
staging-api.bridgeportft.com,stg-api-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Staging,Internal,No,No,2025-12-22,Platform Team,Staging API
metrics-collector.internal.bridgeportft.com,int-metrics-01,8080,HTTP (plaintext),N/A,Internal,Internal,No,No,2025-12-22,SRE Team,Prometheus metrics scrape endpoint - VPC-only access. No PII. Covered by EXC-2025-011.
grafana.internal.bridgeportft.com,int-mon-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Internal,Internal,No,No,2025-12-22,SRE Team,Monitoring dashboards
vault.internal.bridgeportft.com,int-vault-01,8200,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Internal,Restricted,No,No,2025-12-22,Security Team,HashiCorp Vault
jenkins.internal.bridgeportft.com,int-ci-01,8443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Internal,Internal,No,No,2025-12-22,DevOps,CI/CD server
partner-data-sync.bridgeportft.com,prod-sync-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,Production,Restricted,Yes,No,2025-12-22,Integrations Team,Partner data sync API - handles PII (customer names and account numbers) for bank integration feed
customer-export.internal.bridgeportft.com,int-export-01,8443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Internal,Restricted,Yes,No,2025-12-22,Analytics Team,Internal customer data export service - serves PII to analytics dashboards
mail.bridgeportft.com,prod-mail-01,587,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Production,Confidential,No,N/A,2025-12-22,IT Operations,SMTP relay
