policy_id,policy_name,tier,owner,review_cycle,review_due_date,actual_review_date,reviewed_by,approved_by,status,version_before,version_after,changes_made,notes
POL-ISEC-005,Information Security Policy,Tier 1,CISO,Annual (Calendar Year),2025-12-31,2025-11-15,Rebecca Torres,SGC (Q4 Meeting),Completed,4.2,4.3,"Updated TLS requirements; Added AI governance section; Updated regulatory references",Reviewed 46 days before deadline. Approved at Q4 SGC meeting November 20.
POL-ACC-005,Access Control Standard,Tier 2,Security Ops,Annual (Calendar Year),2025-12-31,2025-10-22,Marcus Greene,Rebecca Torres,Completed,3.0,3.1,"Added FIDO2/WebAuthn requirements; Updated PAM procedures",On schedule.
POL-ENC-005,Encryption Standard,Tier 2,Security Architecture,Annual (Calendar Year),2025-12-31,2025-09-30,Carlos Mendez,Rebecca Torres,Completed,2.4,2.5,"Updated to require TLS 1.3 for new deployments; Added post-quantum transition plan",On schedule.
POL-INC-005,Incident Response Plan,Tier 2,Security Ops,Annual (Calendar Year),2025-12-31,2025-11-01,Marcus Greene,Rebecca Torres,Completed,2.2,2.3,"Updated SEC breach notification timeline; Added ransomware playbook v2",On schedule.
POL-VRM-005,Vendor Risk Management,Tier 2,GRC,Annual (Calendar Year),2025-12-31,2025-10-15,Amanda Singh,Rebecca Torres,Completed,1.8,1.9,"Added AI vendor assessment criteria; Updated fourth-party risk requirements",On schedule.
POL-COC-005,Code of Conduct,Tier 1,CHRO,Annual (Calendar Year),2025-12-31,2025-12-10,Michael Davis,Board,Completed,3.5,3.6,"Added AI ethics principles; Updated conflict of interest thresholds",On schedule.
POL-WB-005,Whistleblower Policy,Tier 1,General Counsel,Annual (Calendar Year),2025-12-31,2025-12-18,Robert Kline,Board,Completed,2.1,2.2,"Updated hotline provider contact; Added multi-language reporting options",On schedule.
POL-BCP-005,Business Continuity Plan,Tier 2,IT Ops,Annual (Calendar Year),2025-12-31,2025-11-20,Kevin O'Brien,Rebecca Torres,Completed,1.6,1.7,"Updated cloud failover procedures; Added Singapore DR site",On schedule.
POL-CHG-005,Change Management Standard,Tier 2,Platform Engineering,Annual (Calendar Year),2025-12-31,2025-10-01,Platform Lead,Rebecca Torres,Completed,2.3,2.4,"Added automated rollback requirements; Updated CAB composition",On schedule.
POL-DLP-005,Data Loss Prevention Standard,Tier 2,Security Ops,Annual (Calendar Year),2025-12-31,2025-11-05,Marcus Greene,Rebecca Torres,Completed,1.4,1.5,"Added CASB integration requirements; Updated DLP rule tuning process",On schedule.
POL-PHY-005,Physical Security Standard,Tier 2,Facilities,Annual (Calendar Year),2025-12-31,2025-09-15,Facilities Manager,Rebecca Torres,Completed,1.3,1.4,"Updated Singapore office access controls; Added visitor escort procedures",On schedule.
POL-LOG-005,Logging and Monitoring Standard,Tier 2,Security Ops,Annual (Calendar Year),2025-12-31,2025-10-08,Marcus Greene,Rebecca Torres,Completed,1.7,1.8,"Updated log retention to 13 months; Added cloud audit log requirements",On schedule.
