ticket_id,title,category,developer,risk_classification,approver,deployer,submitted_date,approved_date,deployed_date,testing_evidence,security_review,security_reviewer,post_impl_verified,status,notes
CHG-301,Update billing invoice template,Normal,sarah.kim,Low,Marcus Webb (CAB),platform-eng,2025-10-01,2025-10-01 (CAB),2025-10-04 03:15 UTC,test-results-301.pdf,N/A (Low risk),,Yes,Completed,
CHG-302,Add multi-factor authentication to admin portal,Normal,james.liu,High,Marcus Webb (CAB),platform-eng,2025-10-06,2025-10-08 (CAB),2025-10-11 02:30 UTC,test-results-302.pdf,Completed,priya.sharma (Security Eng),Yes,Completed,Security review completed Oct 7. No findings.
CHG-303,Migrate customer PII to encrypted datastore,Normal,rachel.gonzalez,High,Marcus Webb (CAB),platform-eng,2025-10-13,2025-10-15 (CAB),2025-10-18 03:00 UTC,test-results-303.pdf,Completed,priya.sharma (Security Eng),Yes,Completed,Security review completed Oct 14. Data flow analysis documented.
CHG-304,Fix timezone rendering bug in reports,Normal,tom.nakamura,Low,Marcus Webb (CAB),platform-eng,2025-10-20,2025-10-22 (CAB),2025-10-25 02:00 UTC,test-results-304.pdf,N/A (Low risk),,Yes,Completed,
CHG-305,Upgrade PostgreSQL from 14 to 16,Normal,james.liu,High,Marcus Webb (CAB),platform-eng,2025-10-27,2025-10-29 (CAB),2025-11-01 02:00 UTC,test-results-305.pdf,Completed,david.okonkwo (Security Eng),Yes,Completed,Security review completed Oct 28. CVE check passed.
CHG-306,Add webhook endpoint for partner integrations,Normal,sarah.kim,High,Marcus Webb (CAB),platform-eng,2025-11-03,2025-11-05 (CAB),2025-11-08 02:30 UTC,test-results-306.pdf,Not completed — security team unavailable,N/A,Yes,Completed,CAB approved without security review. Security team was at offsite training Nov 3-7.
CHG-307,Patch OpenSSL CVE-2025-31337,Emergency,tom.nakamura,Critical,Marcus Webb (verbal),platform-eng,2025-11-10 22:00,2025-11-10 22:05,2025-11-10 23:15 UTC,Hotfix tested in staging,Completed,priya.sharma (Security Eng),Yes,Completed,Retrospective CAB: Nov 12 (within 48 hrs)
CHG-308,Refactor notification microservice,Normal,rachel.gonzalez,Medium,Marcus Webb (CAB),platform-eng,2025-11-17,2025-11-19 (CAB),2025-11-22 03:00 UTC,test-results-308.pdf,N/A (Medium risk),,Yes,Completed,
CHG-309,Add OAuth2 PKCE flow for mobile clients,Normal,james.liu,High,Marcus Webb (CAB),platform-eng,2025-11-24,2025-11-26 (CAB),2025-11-29 02:00 UTC,test-results-309.pdf,Completed,david.okonkwo (Security Eng),Yes,Completed,Security review Nov 25. Auth flow validated.
CHG-310,Update CDN caching rules,Standard,tom.nakamura,Low,N/A (standard),platform-eng,2025-12-01,N/A,2025-12-01 14:00 UTC,N/A,N/A,,Yes,Completed,Per standard change catalog
CHG-311,Implement SSO with customer SAML IdP,Normal,sarah.kim,High,Marcus Webb (CAB),platform-eng,2025-12-08,2025-12-10 (CAB),2025-12-13 02:30 UTC,test-results-311.pdf,Completed,priya.sharma (Security Eng),Yes,Completed,Security review Dec 9. SAML assertion validation confirmed.
CHG-312,Database schema migration for audit logging,Normal,rachel.gonzalez,Medium,Marcus Webb (CAB),platform-eng,2025-12-15,2025-12-17 (CAB),2025-12-20 03:00 UTC,test-results-312.pdf,N/A (Medium risk),,Yes,Completed,
