reading_id,timestamp,sensor_id,location,temperature_f,humidity_pct,status,alert_triggered,notes
ENV-0401,2025-10-01 00:00:00,TEMP-SRV-A1,Server Room A,71.2,42.3,Normal,No,
ENV-0402,2025-10-01 00:00:00,TEMP-SRV-A2,Server Room A,71.5,42.1,Normal,No,
ENV-0403,2025-10-01 00:00:00,TEMP-SRV-B1,Server Room B,70.8,43.5,Normal,No,
ENV-0404,2025-10-01 06:00:00,TEMP-SRV-A1,Server Room A,71.4,42.0,Normal,No,
ENV-0405,2025-10-01 06:00:00,TEMP-SRV-B1,Server Room B,70.9,43.2,Normal,No,
ENV-0406,2025-10-01 12:00:00,TEMP-SRV-A1,Server Room A,72.1,41.8,Normal,No,
ENV-0407,2025-10-01 12:00:00,TEMP-SRV-A2,Server Room A,72.3,41.5,Normal,No,
ENV-0408,2025-10-01 12:00:00,TEMP-SRV-B1,Server Room B,71.5,42.8,Normal,No,
ENV-0409,2025-10-01 18:00:00,TEMP-SRV-A1,Server Room A,72.0,42.2,Normal,No,
ENV-0410,2025-10-01 18:00:00,TEMP-SRV-B1,Server Room B,71.2,43.0,Normal,No,
ENV-0411,2025-10-02 00:00:00,TEMP-SRV-A1,Server Room A,71.0,42.5,Normal,No,
ENV-0412,2025-10-02 06:00:00,TEMP-SRV-A1,Server Room A,71.3,42.1,Normal,No,
ENV-0413,2025-10-02 12:00:00,TEMP-SRV-A1,Server Room A,72.4,41.6,Normal,No,
ENV-0414,2025-10-02 18:00:00,TEMP-SRV-B1,Server Room B,71.8,42.4,Normal,No,
ENV-0415,2025-10-07 00:00:00,TEMP-SRV-A1,Server Room A,71.1,42.8,Normal,No,
ENV-0416,2025-10-07 06:00:00,TEMP-SRV-A2,Server Room A,71.4,42.3,Normal,No,
ENV-0417,2025-10-07 12:00:00,TEMP-SRV-B1,Server Room B,71.6,43.1,Normal,No,
ENV-0418,2025-10-14 00:00:00,TEMP-SRV-A1,Server Room A,70.9,42.7,Normal,No,
ENV-0419,2025-10-14 12:00:00,TEMP-SRV-A1,Server Room A,72.8,41.2,Normal,No,
ENV-0420,2025-10-21 00:00:00,TEMP-SRV-A1,Server Room A,71.2,42.5,Normal,No,
ENV-0421,2025-10-21 12:00:00,TEMP-SRV-B1,Server Room B,71.4,43.0,Normal,No,
ENV-0422,2025-10-28 00:00:00,TEMP-SRV-A1,Server Room A,71.5,42.0,Normal,No,
ENV-0423,2025-11-04 00:00:00,TEMP-SRV-A1,Server Room A,71.0,42.8,Normal,No,
ENV-0424,2025-11-04 12:00:00,TEMP-SRV-B1,Server Room B,71.7,42.5,Normal,No,
ENV-0425,2025-11-11 00:00:00,TEMP-SRV-A1,Server Room A,71.3,42.2,Normal,No,
ENV-0426,2025-11-11 12:00:00,TEMP-SRV-A2,Server Room A,71.6,41.9,Normal,No,
ENV-0427,2025-11-18 00:00:00,TEMP-SRV-A1,Server Room A,71.1,42.6,Normal,No,
ENV-0428,2025-11-25 12:00:00,TEMP-SRV-B1,Server Room B,71.5,43.2,Normal,No,
ENV-0429,2025-12-02 00:00:00,TEMP-SRV-A1,Server Room A,70.8,42.9,Normal,No,
ENV-0430,2025-12-02 12:00:00,TEMP-SRV-A1,Server Room A,72.2,41.7,Normal,No,
ENV-0431,2025-12-09 00:00:00,TEMP-SRV-B1,Server Room B,71.0,43.4,Normal,No,
ENV-0432,2025-12-16 12:00:00,TEMP-SRV-A1,Server Room A,72.5,41.3,Normal,No,
