change_id,title,requestor,approver,change_type,priority,submitted_date,approved_date,implementation_date,status,environment,description,rollback_plan
CHG-2025-Q4-001,Upgrade RDS PostgreSQL to 15.4,David Park,Wei Zhang,Standard,Medium,2025-10-01,2025-10-03,2025-10-12,Completed,Production,"Upgrade primary RDS instance from PostgreSQL 14.8 to 15.4 during maintenance window",Snapshot rollback within 30 minutes
CHG-2025-Q4-002,Deploy new API gateway rate limiting,Priya Kapoor,David Park,Standard,High,2025-10-05,2025-10-07,2025-10-14,Completed,Production,"Implement rate limiting on public API endpoints — 1000 req/min per API key",Disable rate limiting via feature flag
CHG-2025-Q4-003,Rotate Datadog API keys,Tom Okafor,Wei Zhang,Standard,Low,2025-10-08,2025-10-09,2025-10-15,Completed,Production,"Quarterly rotation of Datadog integration API keys per EXC-2025-031",Previous key retained for 24h rollback
CHG-2025-Q4-004,Migrate CI/CD from Jenkins to GitHub Actions,David Park,Wei Zhang,Major,High,2025-10-10,2025-10-15,2025-10-28,Completed,All,"Phase 2 of Jenkins decommission — migrate remaining 12 pipelines to GitHub Actions",Revert pipeline configs and re-enable Jenkins jobs
CHG-2025-Q4-005,Add WAF rules for OWASP Top 10,Lisa Chen,Wei Zhang,Standard,High,2025-10-14,2025-10-16,2025-10-22,Completed,Production,"Deploy AWS WAF managed rules for SQL injection and XSS protection",Disable WAF rule group
CHG-2025-Q4-006,Update S3 bucket policies for compliance,Tom Okafor,David Park,Standard,Medium,2025-10-18,2025-10-20,2025-10-25,Completed,Production,"Enforce encryption-at-rest and block public access on all S3 buckets",Revert bucket policy to previous version
CHG-2025-Q4-007,Deploy Prometheus monitoring stack,Tom Okafor,David Park,Standard,Medium,2025-10-22,2025-10-24,2025-11-01,Completed,Staging,"Install Prometheus and Grafana for infrastructure metrics in staging environment",Helm chart rollback
CHG-2025-Q4-008,Patch OpenSSL vulnerability CVE-2025-1234,Priya Kapoor,Wei Zhang,Emergency,Critical,2025-10-28,2025-10-28,2025-10-28,Completed,All,"Emergency patch for critical OpenSSL vulnerability affecting all EC2 instances",AMI rollback to previous version
CHG-2025-Q4-009,Expand DynamoDB capacity for Black Friday,David Park,Tom Okafor,Standard,High,2025-11-01,2025-11-03,2025-11-10,Completed,Production,"Increase DynamoDB provisioned capacity for anticipated Black Friday traffic surge",Reduce capacity to baseline
CHG-2025-Q4-010,Update Okta MFA policies,Wei Zhang,Board Audit Committee,Standard,High,2025-11-05,2025-11-08,2025-11-15,Completed,Production,"Enforce FIDO2 keys for all administrator accounts per Q3 audit recommendation",Revert to previous Okta policy
CHG-2025-Q4-011,Database schema migration v4.2,Priya Kapoor,David Park,Standard,Medium,2025-11-10,2025-11-12,2025-11-18,Completed,Production,"Add new tables for customer analytics feature",Run reverse migration script
CHG-2025-Q4-012,Decommission staging-old VPC,David Park,Wei Zhang,Standard,Low,2025-11-14,2025-11-16,2025-11-22,Completed,Staging,"Remove deprecated staging VPC and associated resources",Terraform state restore
CHG-2025-Q4-013,SSL certificate renewal — api.stratos.io,Tom Okafor,David Park,Standard,High,2025-11-18,2025-11-19,2025-11-20,Completed,Production,"Renew TLS certificate for primary API endpoint via ACM",ACM fallback to previous certificate
CHG-2025-Q4-014,Enable CloudTrail data events for S3,Wei Zhang,Board Audit Committee,Standard,Medium,2025-11-20,2025-11-22,2025-11-28,Completed,Production,"Enable S3 data event logging in CloudTrail for audit compliance",Disable data event trail
CHG-2025-Q4-015,Upgrade Kubernetes cluster to 1.28,David Park,Wei Zhang,Major,High,2025-11-24,2025-11-26,2025-12-03,Completed,Production,"In-place upgrade of EKS cluster from 1.27 to 1.28",Node group rollback to 1.27 AMI
CHG-2025-Q4-016,Deploy new customer portal v3.0,Priya Kapoor,David Park,Major,High,2025-12-01,2025-12-03,2025-12-08,Completed,Production,"Major customer portal release with new dashboard and reporting features",Blue-green deployment rollback
CHG-2025-Q4-017,Rotate AWS root account MFA device,Wei Zhang,Board Audit Committee,Standard,Critical,2025-12-05,2025-12-05,2025-12-06,Completed,Production,"Replace root account YubiKey with new hardware token per quarterly rotation schedule",Previous YubiKey retained in safe
CHG-2025-Q4-018,Knowledge transfer — Rachel Nguyen transition,David Park,Wei Zhang,Standard,Medium,2025-11-01,2025-11-03,2025-11-15,Completed,N/A,"Rachel Nguyen transition to Orbit Systems — transfer knowledge base access by Nov 15. Ensure all documentation and runbooks are updated before departure.",N/A
CHG-2025-Q4-019,Holiday code freeze preparation,David Park,Wei Zhang,Standard,Medium,2025-12-15,2025-12-16,2025-12-20,Completed,All,"Implement code freeze for Dec 21 - Jan 2 holiday period",N/A
CHG-2025-Q4-020,Year-end access review preparation,Wei Zhang,Board Audit Committee,Standard,Medium,2025-12-18,2025-12-19,2025-12-22,Completed,All,"Generate access reports for all systems in preparation for Q4 quarterly access review",N/A
