vendor_name,service_type,risk_tier,soc2_report,last_assessment_date,next_assessment_due,data_shared,data_classification,assessor,status,findings_count,critical_findings,notes
Stripe,Payment Processing,Tier 1 - Critical,SOC 2 Type II (current),2025-10-15,2026-04-15,Payment tokens,Restricted,Kevin Walsh,Approved,0,0,Clean SOC 2 report. PCI DSS Level 1 compliant.
AWS,Cloud Infrastructure,Tier 1 - Critical,SOC 2 Type II (current),2025-09-01,2026-03-01,All data classes,Restricted,Marcus Lee,Approved,0,0,Shared responsibility model documented.
Datadog,Monitoring/Observability,Tier 2 - Important,SOC 2 Type II (current),2025-11-01,2026-05-01,System metrics and logs,Internal,Lisa Chang,Approved,1,0,Minor: No BAA needed (no PHI shared). Finding: API key rotation not documented.
Okta,Identity Management,Tier 1 - Critical,SOC 2 Type II (current),2025-10-01,2026-04-01,Employee identity data,Confidential,Kevin Walsh,Approved,0,0,SSO and MFA provider. Clean report.
Snowflake,Data Warehouse,Tier 2 - Important,SOC 2 Type II (current),2025-08-15,2026-02-15,Aggregated analytics,Confidential,Dr. Aisha Patel,Approved,0,0,Data encrypted at rest and in transit.
Slack,Communication,Tier 3 - Standard,SOC 2 Type II (current),2025-07-01,2026-01-01,Internal communications,Internal,Lisa Chang,Approved,0,0,Enterprise Grid plan with DLP integration.
Jira,Project Management,Tier 3 - Standard,SOC 2 Type II (current),2025-06-15,2025-12-15,Project metadata,Internal,Marcus Lee,Overdue,0,0,Assessment overdue by 7 days. Renewal in progress.
GitHub,Source Code,Tier 1 - Critical,SOC 2 Type II (current),2025-09-15,2026-03-15,Source code,Confidential,Kevin Walsh,Approved,0,0,Enterprise Cloud with SAML SSO.
Salesforce,CRM,Tier 2 - Important,SOC 2 Type II (current),2025-10-20,2026-04-20,Customer contact info,Confidential,Lisa Chang,Approved,1,0,Minor: Custom field encryption not verified for all PII fields.
PagerDuty,Incident Management,Tier 3 - Standard,SOC 2 Type II (current),2025-11-10,2026-05-10,Alert metadata,Internal,Marcus Lee,Approved,0,0,No sensitive data shared.
