vendor_name,tier,service,data_classification,soc2_report_received,soc2_report_period,soc2_review_date,soc2_review_notes,dpa_signed,onboarding_date,last_business_review,subservice_orgs,status
AWS,Critical,Cloud infrastructure,Customer PII + Internal,Yes,2025-04-01 to 2026-03-31,2025-07-15,Clean opinion. Inclusive method. CUECs documented.,Yes,2021-06-01,2025-12-01,"N/A (AWS is the infrastructure provider)",Active
Datadog,Critical,Monitoring and observability,Internal + some customer metadata,Yes,2024-10-01 to 2025-09-30,2025-12-20,Clean opinion. Uses AWS as subservice org (inclusive).,Yes,2022-03-15,2025-12-01,AWS (inclusive),Active
Stripe,Critical,Payment processing,Customer PII + financial,Yes,2024-07-01 to 2025-06-30,2025-09-10,Clean opinion. PCI DSS also maintained.,Yes,2022-01-10,2025-12-01,"AWS, GCP (carve-out)",Active
Okta,Critical,Identity management,Customer PII + Internal,Yes,2024-04-01 to 2025-03-31,2025-06-15,Clean opinion. AWS subservice org (inclusive).,Yes,2023-01-20,2025-12-01,AWS (inclusive),Active
SendGrid,High,Transactional email,Customer email addresses,Yes,2024-01-01 to 2024-12-31,2025-04-01,Clean opinion.,Yes,2023-06-01,N/A,AWS (carve-out),Active
HubSpot,High,CRM and marketing,Customer contact info,No,N/A,N/A,SOC 2 report requested Oct 2025 — vendor has not provided.,Yes,2024-02-15,N/A,"AWS, GCP (carve-out)",Active
Snowflake,Critical,Data warehouse,Customer PII + analytics,Yes,2025-01-01 to 2025-12-31,Pending,Report received Dec 15 2025 — review not yet completed.,Yes,2024-06-01,2025-12-01,"AWS, Azure (inclusive)",Active
Zendesk,High,Customer support,Customer PII,Yes,2024-04-01 to 2025-03-31,2025-08-10,One finding: inadequate access review frequency. Vendor remediation confirmed.,Yes,2023-09-01,N/A,AWS (inclusive),Active
Figma,Medium,Design tools,Internal only,N/A,N/A,N/A,Medium tier — SOC 2 not required per policy.,Yes,2024-01-15,N/A,N/A,Active
Lattice,Medium,HR performance management,Employee PII,N/A,N/A,N/A,Medium tier — security questionnaire completed at onboarding.,Yes,2024-03-01,N/A,AWS (carve-out),Active
Amplitude,High,Product analytics,Customer behavioral data (pseudonymized),Yes,2024-06-01 to 2025-05-31,2025-08-25,Clean opinion. Uses AWS and GCP.,Yes,2023-11-15,N/A,"AWS, GCP (carve-out)",Active
PagerDuty,Medium,Incident alerting,Internal only,N/A,N/A,N/A,Medium tier — security questionnaire completed.,Yes,2022-08-01,N/A,AWS (inclusive),Active
ContractWorks,Low,Contract management,Internal contracts,N/A,N/A,N/A,Low tier — contractual review only.,Yes,2024-05-01,N/A,N/A,Active
DataRobot,Critical,ML model training,Customer PII + behavioral data,No,N/A,N/A,New vendor. SOC 2 report requested at onboarding (Sep 2025). Vendor states report available Q1 2026.,Yes,2025-09-15,2025-12-01,AWS (carve-out),Active
