vendor,service,sla_category,sla_target,measured_q4_2025,compliant,contract_expiry,account_manager,notes
Amazon Web Services,EC2 Compute,Availability,99.99%,99.997%,Yes,2026-12-31,Sarah Kim (AWS TAM),Enterprise Support Plan
Amazon Web Services,S3 Storage,Durability,99.999999999%,99.999999999%,Yes,2026-12-31,Sarah Kim (AWS TAM),Eleven 9s durability maintained
Amazon Web Services,RDS PostgreSQL,Availability,99.95%,99.98%,Yes,2026-12-31,Sarah Kim (AWS TAM),Multi-AZ deployment
Amazon Web Services,Direct Connect,Availability,99.9%,99.87%,No,2026-12-31,Sarah Kim (AWS TAM),"Two brief outages in November. SLA credit requested ($4,200). Approved Dec 15."
Cloudflare,CDN,Availability,100%,99.999%,No,2026-06-30,Tom Richards,Enterprise plan. Brief edge node issue Oct 22 (~3 min).
Cloudflare,DDoS Protection,Mitigation Time,< 10 seconds,< 3 seconds,Yes,2026-06-30,Tom Richards,No significant DDoS events in Q4
HashiCorp,Vault Enterprise,Support Response (P1),1 hour,43 minutes avg,Yes,2026-03-31,Lisa Park,Two P1 tickets in Q4 -- both responded within SLA
Datadog,Infrastructure Monitoring,Availability,99.9%,99.95%,Yes,2026-09-30,Mike Chen,No significant outages
PagerDuty,Incident Management,Availability,99.9%,99.99%,Yes,2026-07-31,Jennifer Walsh,Reliable throughout Q4
Snowflake,Data Warehouse,Availability,99.9%,99.94%,Yes,2025-12-31,David Nguyen,Contract renewal in progress -- negotiating 2-year term
