check_id,pipeline,check_type,scheduled_time,execution_time,status,source_count,destination_count,discrepancy,action_taken,operator
DIC-4501,order-ingestion,record_count,2025-10-01T02:00:00Z,2025-10-01T02:03:12Z,Pass,14582,14582,0,None,automated
DIC-4502,payment-reconciliation,checksum,2025-10-01T04:00:00Z,2025-10-01T04:05:44Z,Pass,8723,8723,0,None,automated
DIC-4503,inventory-sync,record_count,2025-10-01T06:00:00Z,2025-10-01T06:02:18Z,Pass,52341,52341,0,None,automated
DIC-4504,order-ingestion,record_count,2025-10-02T02:00:00Z,2025-10-02T02:03:08Z,Pass,15011,15011,0,None,automated
DIC-4505,payment-reconciliation,checksum,2025-10-02T04:00:00Z,2025-10-02T04:06:01Z,Pass,8890,8890,0,None,automated
DIC-4506,inventory-sync,record_count,2025-10-02T06:00:00Z,2025-10-02T06:02:22Z,Pass,52398,52398,0,None,automated
DIC-4507,order-ingestion,record_count,2025-10-03T02:00:00Z,2025-10-03T02:03:15Z,Pass,14890,14890,0,None,automated
DIC-4508,payment-reconciliation,checksum,2025-10-03T04:00:00Z,2025-10-03T04:05:38Z,Pass,9102,9102,0,None,automated
DIC-4509,inventory-sync,record_count,2025-10-03T06:00:00Z,2025-10-03T06:02:30Z,Pass,52410,52410,0,None,automated
DIC-4510,order-ingestion,record_count,2025-10-04T02:00:00Z,2025-10-04T02:03:20Z,Fail,15234,15231,3,Alert triggered — 3 orders stuck in queue. Manual reprocessing completed by 06:00 UTC.,ops-team
DIC-4511,payment-reconciliation,checksum,2025-10-04T04:00:00Z,2025-10-04T04:05:55Z,Pass,9245,9245,0,None,automated
DIC-4512,customer-data-export,record_count,2025-10-07T08:00:00Z,2025-10-07T08:12:33Z,Pass,128450,128450,0,None,automated
DIC-4513,order-ingestion,record_count,2025-10-07T02:00:00Z,2025-10-07T02:03:11Z,Pass,13220,13220,0,None,automated
DIC-4514,payment-reconciliation,checksum,2025-10-07T04:00:00Z,2025-10-07T04:05:42Z,Pass,8450,8450,0,None,automated
DIC-4515,inventory-sync,record_count,2025-10-07T06:00:00Z,2025-10-07T06:02:25Z,Pass,52455,52455,0,None,automated
DIC-4516,order-ingestion,record_count,2025-10-08T02:00:00Z,2025-10-08T02:03:18Z,Pass,14678,14678,0,None,automated
DIC-4517,payment-reconciliation,checksum,2025-10-08T04:00:00Z,2025-10-08T04:05:50Z,Pass,8920,8920,0,None,automated
DIC-4518,bulk-import-validation,record_count,2025-10-10T14:00:00Z,2025-10-10T14:15:22Z,Pass,5000,5000,0,None,automated
DIC-4519,order-ingestion,record_count,2025-10-14T02:00:00Z,2025-10-14T02:03:14Z,Pass,15102,15102,0,None,automated
DIC-4520,payment-reconciliation,checksum,2025-10-14T04:00:00Z,2025-10-14T04:06:05Z,Pass,9340,9340,0,None,automated
DIC-4521,inventory-sync,record_count,2025-10-14T06:00:00Z,2025-10-14T06:02:28Z,Pass,52500,52500,0,None,automated
DIC-4522,order-ingestion,record_count,2025-10-21T02:00:00Z,2025-10-21T02:03:10Z,Pass,14850,14850,0,None,automated
