cert_id,common_name,san_entries,issuer,key_algorithm,key_size,signature_algorithm,issued_date,expiry_date,auto_renewal_enabled,renewal_owner,monitoring_alert_days,last_renewal_date,status,environment,notes
CERT-001,"*.crestline.com","api.crestline.com, app.crestline.com, dashboard.crestline.com, admin-api.crestline.com",DigiCert Global G2,RSA,2048,SHA256withRSA,2025-02-15,2026-02-15,Yes,Platform Team,30,2025-02-15,Active,Production,Wildcard cert for primary domains
CERT-002,payments.crestline.com,payments.crestline.com,DigiCert Global G2,RSA,4096,SHA256withRSA,2024-09-30,2025-09-30,Yes,Payments Team,60,2024-09-30,Active,Production,Extended validation cert for PCI scope
CERT-003,webhooks.crestline.com,webhooks.crestline.com,DigiCert Global G2,RSA,2048,SHA256withRSA,2025-04-10,2026-04-10,Yes,Platform Team,30,2025-04-10,Active,Production,Dedicated webhook cert
CERT-004,cdn.crestline.com,cdn.crestline.com,Amazon Trust Services,RSA,2048,SHA256withRSA,2025-10-15,2026-01-15,Yes,DevOps,14,2025-10-15,Active,Production,ACM managed cert - auto-renews
CERT-005,docs.crestline.com,docs.crestline.com,Let's Encrypt R3,RSA,2048,SHA256withRSA,2025-12-20,2026-03-20,Yes,Documentation Team,14,2025-12-20,Active,Production,90-day Let's Encrypt cert
CERT-006,"*.staging.crestline.com","staging-api.crestline.com, staging-app.crestline.com",Let's Encrypt R3,RSA,2048,SHA256withRSA,2025-12-15,2026-03-15,Yes,Platform Team,14,2025-12-15,Active,Staging,Staging wildcard
CERT-007,internal-tools.crestline.net,internal-tools.crestline.net,Crestline Private CA,RSA,2048,SHA256withRSA,2025-01-10,2026-01-10,No,IT Operations,30,2025-01-10,Active,Internal,Internal tools - manual renewal required
CERT-008,"*.monitoring.crestline.net","grafana.crestline.net, kibana.crestline.net",Crestline Private CA,RSA,2048,SHA256withRSA,2025-06-01,2026-06-01,No,SRE Team,30,2025-06-01,Active,Internal,Monitoring stack certs
CERT-009,vault.crestline.net,vault.crestline.net,Crestline Private CA,RSA,4096,SHA256withRSA,2025-05-15,2026-05-15,No,Security Team,60,2025-05-15,Active,Internal,Vault TLS cert - high security
CERT-010,jenkins.crestline.net,jenkins.crestline.net,Crestline Private CA,RSA,2048,SHA256withRSA,2025-04-01,2026-04-01,No,DevOps,30,2025-04-01,Active,Internal,Jenkins CI server
CERT-011,legacy-reporting.crestline.com,legacy-reporting.crestline.com,DigiCert Global G2,RSA,2048,SHA256withRSA,2025-01-30,2026-01-30,No,Analytics Team,30,2025-01-30,Active,Production,Legacy reporting system cert - no auto-renewal configured
CERT-012,mail.crestline.com,mail.crestline.com,DigiCert Global G2,RSA,2048,SHA256withRSA,2025-08-20,2026-08-20,Yes,IT Operations,30,2025-08-20,Active,Production,SMTP relay cert
