record_id,date,time_utc,system,os_or_app,patch_id,severity,change_ticket,deployer,window,result,notes
PATCH-9001,2025-10-04,02:30,web-srv-01,Ubuntu 22.04,USN-7121-1,High,CHG-2025-9001,Adam Reyes,MW-PROD,Success,October cycle
PATCH-9002,2025-10-04,02:45,web-srv-02,Ubuntu 22.04,USN-7121-1,High,CHG-2025-9001,Adam Reyes,MW-PROD,Success,October cycle
PATCH-9003,2025-10-04,03:15,app-srv-01,RHEL 9.3,RHSA-2025:0412,Medium,CHG-2025-9002,Clara Ruiz,MW-PROD,Success,Kernel update
PATCH-9004,2025-10-04,03:30,app-srv-02,RHEL 9.3,RHSA-2025:0412,Medium,CHG-2025-9002,Clara Ruiz,MW-PROD,Success,Kernel update
PATCH-9005,2025-10-04,04:00,db-srv-01,Ubuntu 22.04,USN-7125-1,Medium,CHG-2025-9003,Derek Tan,MW-PROD,Success,PostgreSQL update
PATCH-9006,2025-10-08,02:30,fw-edge-01,FortiOS 7.4,FG-IR-25-003,High,CHG-2025-9005,Clara Ruiz,MW-NET,Success,Firmware update
PATCH-9007,2025-10-08,03:00,fw-edge-02,FortiOS 7.4,FG-IR-25-003,High,CHG-2025-9005,Clara Ruiz,MW-NET,Success,HA pair updated
PATCH-9008,2025-11-01,02:30,web-srv-01,Ubuntu 22.04,USN-7145-1,Medium,CHG-2025-9020,Adam Reyes,MW-PROD,Success,November cycle
PATCH-9009,2025-11-01,02:45,web-srv-02,Ubuntu 22.04,USN-7145-1,Medium,CHG-2025-9020,Adam Reyes,MW-PROD,Success,November cycle
PATCH-9010,2025-11-01,03:15,app-srv-01,RHEL 9.3,RHSA-2025:0498,Medium,CHG-2025-9021,Clara Ruiz,MW-PROD,Success,Kernel update
PATCH-9011,2025-11-01,03:30,app-srv-02,RHEL 9.3,RHSA-2025:0498,Medium,CHG-2025-9021,Clara Ruiz,MW-PROD,Success,Kernel update
PATCH-9012,2025-11-01,04:00,db-srv-01,Ubuntu 22.04,USN-7148-1,Medium,CHG-2025-9022,Derek Tan,MW-PROD,Success,PostgreSQL update
PATCH-9013,2025-12-06,02:30,web-srv-01,Ubuntu 22.04,USN-7165-1,Medium,CHG-2025-9040,Adam Reyes,MW-PROD,Success,December cycle
PATCH-9014,2025-12-06,02:45,web-srv-02,Ubuntu 22.04,USN-7165-1,Medium,CHG-2025-9040,Adam Reyes,MW-PROD,Success,December cycle
PATCH-9015,2025-12-06,03:15,app-srv-01,RHEL 9.3,RHSA-2025:0567,Medium,CHG-2025-9041,Clara Ruiz,MW-PROD,Success,Kernel update
PATCH-9016,2025-12-06,03:30,app-srv-02,RHEL 9.3,RHSA-2025:0567,Medium,CHG-2025-9041,Clara Ruiz,MW-PROD,Success,Kernel update
PATCH-9017,2025-12-06,04:00,db-srv-01,Ubuntu 22.04,USN-7168-1,Medium,CHG-2025-9042,Derek Tan,MW-PROD,Success,PostgreSQL update
