quarter,metric_name,metric_category,target,actual,status,trend_vs_prior,details
Q1 2025,Mean Time to Detect (MTTD),Incident Response,< 4.0 hours,2.4 hours,On Target,Improved,"New SIEM correlation rules deployed in January. 12 incidents detected in Q1."
Q1 2025,Mean Time to Respond (MTTR),Incident Response,< 8.0 hours,5.1 hours,On Target,Improved,"Improved runbook automation reduced triage time."
Q1 2025,Critical Vulnerability SLA,Vulnerability Management,100%,100%,On Target,Maintained,"3 critical vulnerabilities identified and remediated within 72 hours."
Q1 2025,High Vulnerability SLA,Vulnerability Management,95%,94%,Below Target,Improved,"16 of 17 high vulns remediated on time. 1 delayed due to trading platform deployment freeze."
Q1 2025,Training Completion,Security Awareness,95%,97.2%,On Target,Improved,"350 employees. 340 completed. 10 pending (new hires in onboarding grace period)."
Q1 2025,Phishing Click Rate,Security Awareness,< 8%,5.1%,On Target,Improved,"3 campaigns. Lowest click rate in engineering (2.8%). Highest in sales (8.2% — still within target)."
Q2 2025,Mean Time to Detect (MTTD),Incident Response,< 4.0 hours,2.1 hours,On Target,Improved,"UEBA detected insider threat INC-2025-019 within 2 hours of anomalous access."
Q2 2025,Mean Time to Respond (MTTR),Incident Response,< 8.0 hours,4.8 hours,On Target,Improved,"INC-2025-019 contained within 4 hours. Investigation took additional 2 weeks due to legal involvement."
Q2 2025,Critical Vulnerability SLA,Vulnerability Management,100%,100%,On Target,Maintained,"5 critical vulnerabilities. All remediated within 72 hours."
Q2 2025,High Vulnerability SLA,Vulnerability Management,95%,96%,On Target,Improved,"24 of 25 high vulns on time. Improvement from Q1."
Q2 2025,Training Completion,Security Awareness,95%,97.4%,On Target,Stable,"341 completed of 350 eligible."
Q2 2025,Phishing Click Rate,Security Awareness,< 8%,4.3%,On Target,Improved,"New targeted training for sales team reduced their click rate to 5.9%."
Q3 2025,Mean Time to Detect (MTTD),Incident Response,< 4.0 hours,1.9 hours,On Target,Improved,"Best quarter for detection. SIEM + UEBA correlation achieving sub-2-hour detection."
Q3 2025,Mean Time to Respond (MTTR),Incident Response,< 8.0 hours,4.5 hours,On Target,Improved,"INC-2025-041 (supply chain) detected and blocked in CI/CD within 1 hour."
Q3 2025,Critical Vulnerability SLA,Vulnerability Management,100%,100%,On Target,Maintained,"4 critical vulnerabilities. All within SLA."
Q3 2025,High Vulnerability SLA,Vulnerability Management,95%,97%,On Target,Improved,"29 of 30 high vulns. Consistent improvement trend."
Q3 2025,Training Completion,Security Awareness,95%,98.1%,On Target,Improved,"New hire onboarding process improvements driving higher completion."
Q3 2025,Phishing Click Rate,Security Awareness,< 8%,3.8%,On Target,Improved,"All departments now below 6%. Lowest annual rate."
Q4 2025,Mean Time to Detect (MTTD),Incident Response,< 4.0 hours,1.8 hours,On Target,Improved,"INC-2025-057 (exec phishing) reported by CFO within 3 minutes."
Q4 2025,Mean Time to Respond (MTTR),Incident Response,< 8.0 hours,4.2 hours,On Target,Improved,"Fastest average MTTR. Automation improvements in triage."
Q4 2025,Critical Vulnerability SLA,Vulnerability Management,100%,100%,On Target,Maintained,"2 critical vulns. Both patched within 48 hours."
Q4 2025,High Vulnerability SLA,Vulnerability Management,95%,98%,On Target,Improved,"Automated patching for non-critical workloads contributing to improvement."
Q4 2025,Training Completion,Security Awareness,95%,97.8%,On Target,Stable,"Consistent high completion. Holiday period did not impact."
Q4 2025,Phishing Click Rate,Security Awareness,< 8%,4.1%,On Target,Stable,"Slight uptick from Q3 attributed to more sophisticated simulation scenarios."
