role_name,user,user_department,database,schema,table_or_view,privileges,masking_policy,grant_date,granted_by,virtual_warehouse,account_type,notes
ANALYST_READONLY,a.williams,Finance,VERTEX_PROD,FINANCE,general_ledger,SELECT,,2025-01-15,dba_setup,ANALYST_WH,employee,Standard finance analyst
ANALYST_READONLY,a.williams,Finance,VERTEX_PROD,FINANCE,accounts_receivable,SELECT,,2025-01-15,dba_setup,ANALYST_WH,employee,Standard finance analyst
ANALYST_READONLY,a.williams,Finance,VERTEX_PROD,FINANCE,accounts_payable,SELECT,,2025-01-15,dba_setup,ANALYST_WH,employee,Standard finance analyst
ANALYST_READONLY,m.thompson,Finance,VERTEX_PROD,FINANCE,general_ledger,SELECT,,2025-02-01,dba_setup,ANALYST_WH,employee,Finance reporting
ANALYST_READONLY,m.thompson,Finance,VERTEX_PROD,FINANCE,accounts_receivable,SELECT,,2025-02-01,dba_setup,ANALYST_WH,employee,Finance reporting
DATA_ENGINEER,p.nakamura,Engineering,VERTEX_PROD,ETL_STAGING,ALL,SELECT/INSERT/UPDATE,,2024-09-01,dba_setup,ETL_WH,employee,ETL development
DATA_ENGINEER,p.nakamura,Engineering,VERTEX_PROD,ETL_TARGET,ALL,SELECT/INSERT/UPDATE,,2024-09-01,dba_setup,ETL_WH,employee,ETL target writes
DATA_ENGINEER,r.okafor,Engineering,VERTEX_PROD,ETL_STAGING,ALL,SELECT/INSERT/UPDATE,,2025-03-15,dba_setup,ETL_WH,employee,ETL development
RISK_ANALYTICS,d.santos,Risk Analytics,VERTEX_PROD,RISK,risk_models,SELECT,,2025-04-01,dba_setup,RISK_WH,employee,Risk model analysis
RISK_ANALYTICS,d.santos,Risk Analytics,VERTEX_PROD,RISK,transaction_summaries,SELECT,,2025-04-01,dba_setup,RISK_WH,employee,Transaction risk scoring
RISK_ANALYTICS,d.santos,Risk Analytics,VERTEX_PROD,RISK,fraud_indicators,SELECT,,2025-04-01,dba_setup,RISK_WH,employee,Fraud detection research
MARKETING_ANALYTICS,h.park,Marketing,VERTEX_PROD,MARKETING,campaign_metrics,SELECT,,2025-05-10,dba_setup,MARKETING_WH,employee,Campaign performance analysis
MARKETING_ANALYTICS,h.park,Marketing,VERTEX_PROD,MARKETING,customer_segments,SELECT,,2025-05-10,dba_setup,MARKETING_WH,employee,Segment analysis
MARKETING_ANALYTICS,h.park,Marketing,VERTEX_PROD,PAYMENTS,cardholder_data,SELECT,,2025-09-22,admin_setup,MARKETING_WH,employee,Customer payment analysis — no masking policy applied
MARKETING_ANALYTICS,s.mehta,Marketing,VERTEX_PROD,MARKETING,campaign_metrics,SELECT,,2025-06-01,dba_setup,MARKETING_WH,employee,Email campaign analytics
MARKETING_ANALYTICS,s.mehta,Marketing,VERTEX_PROD,MARKETING,customer_segments,SELECT,,2025-06-01,dba_setup,MARKETING_WH,employee,Segment targeting
MARKETING_ANALYTICS,s.mehta,Marketing,VERTEX_PROD,PAYMENTS,cardholder_data,SELECT,,2025-09-22,admin_setup,MARKETING_WH,employee,Customer payment analysis — no masking policy applied
MARKETING_ANALYTICS,b.chen,Marketing,VERTEX_PROD,MARKETING,campaign_metrics,SELECT,,2025-07-15,dba_setup,MARKETING_WH,employee,Growth analytics
MARKETING_ANALYTICS,b.chen,Marketing,VERTEX_PROD,PAYMENTS,cardholder_data,SELECT,,2025-09-22,admin_setup,MARKETING_WH,employee,Customer payment analysis — no masking policy applied
DBA_ADMIN,k.petrov,Database Administration,ALL,ALL,ALL,ALL PRIVILEGES,,2024-01-10,account_admin,DBA_WH,employee,Primary DBA
DBA_ADMIN,l.huang,Database Administration,ALL,ALL,ALL,ALL PRIVILEGES,,2024-03-20,account_admin,DBA_WH,employee,Secondary DBA
ACCOUNTADMIN,k.petrov,Database Administration,SYSTEM,SYSTEM,SYSTEM,ALL SYSTEM PRIVILEGES,,2024-01-10,account_admin,DBA_WH,employee,Snowflake system administration
ACCOUNTADMIN,j.crawford,Risk Analytics,SYSTEM,SYSTEM,SYSTEM,ALL SYSTEM PRIVILEGES,,2025-11-18,admin_setup,DBA_WH,employee,Granted for report debugging — no formal request
COMPLIANCE_AUDITOR,s.lee,External — Meridian Compliance Group,ALL,ALL,ALL,SELECT,pci_card_masking,2025-10-01,account_admin,AUDIT_WH_TIMELIMITED,external,PCI-DSS annual audit — EXC-2025-088
COMPLIANCE_AUDITOR,n.brooks,Internal Audit,ALL,ALL,ALL,SELECT,pci_card_masking,2025-10-01,account_admin,AUDIT_WH_TIMELIMITED,employee,PCI-DSS annual audit — EXC-2025-088
SVC_DATA_PIPELINE,,Engineering,ALL,ALL,ALL,SYSADMIN,,2024-07-15,account_admin,ETL_WH,service_account,ETL pipeline service account — owner: Derek Huang
SVC_REPORTING,,Engineering,VERTEX_PROD,FINANCE,general_ledger,SELECT,,2025-01-20,dba_setup,REPORTING_WH,service_account,Automated financial reports — owner: Aisha Patel
SVC_REPORTING,,Engineering,VERTEX_PROD,FINANCE,accounts_receivable,SELECT,,2025-01-20,dba_setup,REPORTING_WH,service_account,Automated financial reports — owner: Aisha Patel
SVC_MONITORING,,SRE,VERTEX_PROD,MONITORING,query_history,SELECT,,2025-02-01,dba_setup,MONITORING_WH,service_account,Query performance monitoring — owner: Tom Okafor
