ticket_id,title,category,developer,risk_classification,vp_approval,ciso_approval,deployer,submitted_date,approved_date,deployed_date,deployment_window,testing_evidence,security_review,post_impl_verified,status,notes
CHG-701,Dashboard widget library upgrade,Normal,anika.patel,Low,Nathan Cole (CAB),,sre-team,2025-10-06,2025-10-07 (CAB),2025-10-11 03:00 UTC,Saturday maintenance,test-results-701.pdf,,Yes,Completed,
CHG-702,Add role-based access control to reporting module,Normal,ben.torres,High,Nathan Cole (CAB),,sre-team,2025-10-10,2025-10-14 (CAB),2025-10-18 02:30 UTC,Saturday maintenance,test-results-702.pdf,Completed (Security Eng),Yes,Completed,RBAC model reviewed by security team
CHG-703,Fix data aggregation rounding error,Normal,carla.wu,Medium,Nathan Cole (CAB),,sre-team,2025-10-20,2025-10-21 (CAB),2025-10-25 03:15 UTC,Saturday maintenance,test-results-703.pdf,,Yes,Completed,
CHG-704,Emergency fix: SQL injection in report export,Emergency,ben.torres,Critical,Nathan Cole (verbal),Yuki Tanaka (verbal),sre-team,2025-10-28 11:00,2025-10-28 11:10,2025-10-28 12:30 UTC,Emergency,Hotfix tested in staging,Completed (Yuki Tanaka),Yes,Completed,Dual approval obtained. Retrospective CAB: Nov 4 (5 business days)
CHG-705,Migrate user sessions from cookie to JWT,Normal,anika.patel,High,Nathan Cole (CAB),,sre-team,2025-11-03,2025-11-04 (CAB),2025-11-08 02:00 UTC,Saturday maintenance,test-results-705.pdf,Completed (Security Eng),Yes,Completed,Session security reviewed
CHG-706,Add data export API for enterprise customers,Normal,carla.wu,High,Nathan Cole (CAB),,sre-team,2025-11-10,2025-11-11 (CAB),2025-11-13 14:00 UTC,OUTSIDE maintenance window — Thursday 14:00 UTC,test-results-706.pdf,Completed (Security Eng),Yes,Completed,Deployed outside Saturday window. CAB approved Tuesday deployment due to customer contract deadline Nov 15.
CHG-707,Patch Node.js CVE-2025-44218,Standard,sre-team,Low,N/A (standard),,sre-team,2025-11-20,N/A,2025-11-22 02:00 UTC,Saturday maintenance,CI tests passed,,Yes,Completed,Per standard change catalog
CHG-708,Emergency fix: Auth token expiry miscalculation,Emergency,anika.patel,Critical,Nathan Cole (verbal),NOT OBTAINED,anika.patel,2025-12-02 03:00,2025-12-02 03:05,2025-12-02 04:15 UTC,Emergency,Tested in staging,N/A,Yes,Completed,CISO was unreachable at 3am. VP Eng approved alone. Developer deployed — SRE on-call did not respond. Retrospective CAB: Dec 9 (5 business days)
CHG-709,Database sharding implementation phase 1,Normal,ben.torres,High,Nathan Cole (CAB),,sre-team,2025-12-08,2025-12-09 (CAB),2025-12-13 02:00 UTC,Saturday maintenance,test-results-709.pdf + load-test-709.pdf,Completed (Security Eng),Yes,Completed,
CHG-710,Year-end TLS certificate rotation,Standard,sre-team,Low,N/A (standard),,sre-team,2025-12-22,N/A,2025-12-22 10:00 UTC,Business hours,Automated cert-manager,,Yes,Completed,
