key_id,key_name,key_category,data_classification,service,scheduled_rotation,actual_rotation,days_late,tolerance_days,within_tolerance,performed_by,verified_by,re_encryption_completed,ciso_notified,root_cause,corrective_action,status,notes
KMS-ADP-001,adp-prod-core-cmk,AWS KMS CMK,Restricted,Core Platform,2025-11-01,2025-11-01,0,0,Yes,AWS Automatic,Config Rule,N/A,N/A,N/A,N/A,Compliant,Automatic rotation on schedule
KMS-ADP-002,adp-prod-billing-cmk,AWS KMS CMK,Restricted,Billing Service,2025-08-15,2025-08-15,0,0,Yes,AWS Automatic,Config Rule,N/A,N/A,N/A,N/A,Compliant,Automatic rotation on schedule
KMS-ADP-003,adp-prod-analytics-cmk,AWS KMS CMK,Confidential,Analytics,2026-02-01,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Yet Due,Next rotation February 2026
APP-ADP-001,adp-prod-api-key,Application Key,Confidential,API Gateway,2025-10-15,2025-10-17,2,7,Yes,Robert Chen,Patricia Hawkins,N/A,N/A,N/A,N/A,Compliant,2 days late - well within 7-day tolerance
APP-ADP-002,adp-prod-session-key,Application Key,Internal,Auth Service,2025-09-01,2025-09-01,0,7,Yes,Robert Chen,Patricia Hawkins,N/A,N/A,N/A,N/A,Compliant,Rotated on schedule
APP-ADP-003,adp-prod-webhook-key,Application Key,Confidential,Webhook Service,2025-12-01,2025-12-08,7,7,Yes,Robert Chen,Patricia Hawkins,N/A,N/A,N/A,N/A,Compliant,7 days late - exactly at tolerance boundary
DB-ADP-001,adp-prod-user-pii-key,Database Field Key,Restricted,User PII Encryption,2025-11-15,2025-11-29,14,14,Yes,Robert Chen,Patricia Hawkins,2025-12-05,N/A,N/A,N/A,Compliant,"14 days late - exactly at 14-day tolerance boundary. Re-encryption of 4.2M user records completed December 5. Delay caused by Thanksgiving holiday week reducing engineering availability."
DB-ADP-002,adp-prod-payment-pii-key,Database Field Key,Restricted,Payment Data Encryption,2025-10-01,2025-10-15,14,14,Yes,Robert Chen,Patricia Hawkins,2025-10-20,N/A,N/A,N/A,Compliant,14 days late - at tolerance boundary. Re-encryption of payment records completed October 20.
DB-ADP-003,adp-prod-contact-pii-key,Database Field Key,Restricted,Contact Info Encryption,2025-12-01,2025-12-15,14,14,Yes,Robert Chen,Patricia Hawkins,2025-12-20,N/A,N/A,N/A,Compliant,"14 days late - at tolerance boundary. Delay due to re-encryption batch job contention with holiday traffic spike. Re-encryption completed December 20."
DB-ADP-004,adp-prod-analytics-pii-key,Database Field Key,Restricted,Analytics PII Fields,2025-11-01,2025-11-17,16,14,No,Robert Chen,Patricia Hawkins,2025-11-22,2025-11-16,"Re-encryption batch job failed on November 8 due to disk space exhaustion on re-encryption worker. Disk expanded November 10. Batch restarted but encountered deadlock on high-traffic tables. Required off-hours maintenance window scheduled for November 15. Final re-encryption completed November 17.","1. Added disk space monitoring alerts for re-encryption workers. 2. Pre-allocated additional disk before future rotations. 3. Documented off-hours maintenance window requirement for high-traffic table re-encryption.",Late - Remediated,"16 days late (2 days beyond 14-day tolerance). CISO notified November 16 per policy. Root cause documented. Corrective actions implemented. Key was rotated and re-encryption completed. Post-incident review held November 25."
PGP-ADP-001,adp-partner-globalbank-pgp,PGP Partner Key,Confidential,Partner Exchange - GlobalBank,2025-09-01,2025-09-10,9,30,Yes,Kevin Walsh,Patricia Hawkins,N/A,N/A,N/A,N/A,Compliant,Partner key exchanged 9 days after scheduled date - well within 30-day tolerance
PGP-ADP-002,adp-partner-healthfirst-pgp,PGP Partner Key,Confidential,Partner Exchange - HealthFirst,2026-03-01,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Yet Due,Next rotation March 2026
SSH-ADP-001,adp-prod-bastion-keys,SSH Key,Internal,Bastion Access,2025-12-01,2025-12-01,0,0,Yes,Automated - Teleport,Config Rule,N/A,N/A,N/A,N/A,Compliant,Automatic 6-month rotation
SSH-ADP-002,adp-prod-deploy-keys,SSH Key,Internal,Deployment Pipeline,2025-12-15,2025-12-15,0,0,Yes,Automated - Teleport,Config Rule,N/A,N/A,N/A,N/A,Compliant,Automatic 6-month rotation
