week_ending,reviewer,review_date,sign_off,root_account_events,iam_modifications,sg_changes,db_admin_ops,config_changes,data_exports_over_1gb,findings_summary
2025-10-05,Maria Santos,2025-10-06,Yes,0,3,2,1,8,0,No anomalies — all changes tied to approved change tickets
2025-10-12,Maria Santos,2025-10-13,Yes,0,1,0,2,5,1,Data export by analytics team for quarterly reporting — approved via DLP-REQ-2025-044
2025-10-19,Maria Santos,2025-10-20,Yes,0,2,1,0,4,0,No anomalies — IAM modifications for new hire onboarding
2025-10-26,Maria Santos,2025-10-27,Yes,0,0,3,1,6,0,Security group changes for load balancer update — CHG-2025-4450
2025-11-02,Maria Santos,2025-11-03,Yes,1,4,2,3,12,0,Root account used for AWS Organization policy update — approved by CISO. IAM changes for Q4 role restructuring.
2025-11-09,Maria Santos,2025-11-10,Yes,0,1,0,0,3,0,No anomalies
2025-11-16,Maria Santos,2025-11-17,Yes,0,2,1,1,7,2,Two data exports for regulatory filing — approved via DLP-REQ-2025-051 and DLP-REQ-2025-052
2025-11-23,Not Reviewed,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,Thanksgiving week — review not conducted
2025-11-30,Maria Santos,2025-12-01,Yes,0,1,0,2,4,0,No anomalies
2025-12-07,Maria Santos,2025-12-08,Yes,0,0,2,0,5,1,Data export for audit preparation — approved via DLP-REQ-2025-058
2025-12-14,Maria Santos,2025-12-15,Yes,0,3,1,1,8,0,IAM modifications for contractor offboarding
2025-12-21,Not Reviewed,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,Holiday week — review not conducted
2025-12-28,Maria Santos,2025-12-29,Yes,0,0,0,0,2,0,Minimal activity — holiday period
