ticket_id,title,category,developer,risk_classification,approver,deployer,submitted_date,approved_date,deployed_date,testing_evidence,test_pass_rate,post_impl_verified,post_impl_date,status,rollback_date,rollback_reason,notes
CHANGE-501,Update customer onboarding flow,Normal,kevin.park,Medium,Andrea Ruiz (CAB),sre-team,2025-10-03,2025-10-06 (CAB),2025-10-07 11:30 ET,test-results-501.pdf,97.8%,Yes,2025-10-07 12:15,Completed,,,
CHANGE-502,Migrate analytics pipeline to Kafka,Normal,lisa.chen,High,Andrea Ruiz (CAB),sre-team,2025-10-08,2025-10-13 (CAB),2025-10-14 10:15 ET,test-results-502.pdf + load-test-502.pdf,98.2%,Yes,2025-10-14 11:00,Completed,,,Load test confirmed throughput within SLA
CHANGE-503,Add GraphQL subscriptions for real-time dashboard,Normal,omar.hassan,High,Andrea Ruiz (CAB),sre-team,2025-10-17,2025-10-20 (CAB),2025-10-21 14:00 ET,test-results-503.pdf + load-test-503.pdf,96.1%,Yes,2025-10-21 14:45,Rolled Back,2025-10-21 14:30,Error rate spiked to 4.7% on /api/subscriptions — exceeded 2% rollback threshold,Rollback completed in 8 minutes. Root cause: WebSocket connection pooling issue under production load not reproducible in staging.
CHANGE-504,Fix GraphQL subscription connection pooling,Normal,omar.hassan,High,Andrea Ruiz (CAB),sre-team,2025-10-24,2025-10-27 (CAB),2025-10-28 11:00 ET,test-results-504.pdf + load-test-504.pdf,99.1%,Yes,2025-10-28 11:45,Completed,,,Fix for CHANGE-503 rollback. Added connection pool limits and backpressure handling. Load tested at 2x production traffic.
CHANGE-505,Upgrade Redis to 7.2,Normal,kevin.park,Medium,Andrea Ruiz (CAB),sre-team,2025-11-03,2025-11-03 (CAB),2025-11-04 10:30 ET,test-results-505.pdf,98.5%,Yes,2025-11-04 11:15,Completed,,,
CHANGE-506,Implement SCIM provisioning endpoint,Normal,lisa.chen,High,Andrea Ruiz (CAB),sre-team,2025-11-07,2025-11-10 (CAB),2025-11-11 13:00 ET,,N/A,Yes,2025-11-11 13:45,Completed,,,Deployment successful. No issues reported.
CHANGE-507,Patch curl CVE-2025-29810,Emergency,sre-team,Critical,Andrea Ruiz (verbal),sre-team,2025-11-15 08:00,2025-11-15 08:05,2025-11-15 09:30 ET,Staging validated,100%,Yes,2025-11-15 10:00,Completed,,,Retrospective CAB: Nov 17 (within 72 hrs)
CHANGE-508,Add Stripe webhook signature verification,Normal,omar.hassan,Medium,Andrea Ruiz (CAB),sre-team,2025-11-18,2025-11-24 (CAB),2025-11-25 11:00 ET,test-results-508.pdf,97.3%,Yes,2025-11-25 11:30,Completed,,,
CHANGE-509,Database read replica failover automation,Normal,kevin.park,High,Andrea Ruiz (CAB),sre-team,2025-12-01,2025-12-01 (CAB),2025-12-02 10:00 ET,test-results-509.pdf + load-test-509.pdf,98.8%,Yes,2025-12-02 10:45,Completed,,,Failover tested in staging. RTO measured at 12 seconds.
CHANGE-510,Kubernetes node pool scaling policy update,Normal,lisa.chen,Medium,Andrea Ruiz (CAB),sre-team,2025-12-05,2025-12-08 (CAB),2025-12-09 14:00 ET,test-results-510.pdf,96.9%,Yes,2025-12-09 14:30,Rolled Back,2025-12-09 14:20,Pod scheduling failures on new node pool — node affinity rules misconfigured,Rollback in 6 minutes. Pod anti-affinity conflict with existing DaemonSets.
CHANGE-511,Fix node pool affinity rules,Normal,lisa.chen,Medium,Andrea Ruiz (CAB),sre-team,2025-12-10,2025-12-15 (CAB),2025-12-16 10:30 ET,test-results-511.pdf,99.4%,Yes,2025-12-16 11:00,Completed,,,Fix for CHANGE-510 rollback.
CHANGE-512,End-of-year SSL certificate batch renewal,Standard,sre-team,Low,N/A (standard),sre-team,2025-12-18,N/A,2025-12-18 14:00 ET,Automated cert-manager,100%,Yes,2025-12-18 14:15,Completed,,,Per SC-002
