simulation_id,quarter,simulation_date,campaign_name,total_recipients,emails_opened,links_clicked,credentials_submitted,click_rate,department,department_click_rate,threshold_exceeded,supplemental_training_triggered,supplemental_training_completed,notes
PHISH-2025-001,Q1,2025-01-15,Fake IT Password Reset,20,18,2,1,10.0%,Engineering,8.3%,No,No,N/A,Below 15% threshold — no action required
PHISH-2025-002,Q1,2025-01-15,Fake IT Password Reset,20,18,2,1,10.0%,Finance,0.0%,No,No,N/A,
PHISH-2025-003,Q1,2025-01-15,Fake IT Password Reset,20,18,2,1,10.0%,Sales,16.7%,Yes,Yes,2025-02-10,Sales exceeded 15% threshold — supplemental training completed
PHISH-2025-004,Q1,2025-01-15,Fake IT Password Reset,20,18,2,1,10.0%,All Other,6.3%,No,No,N/A,
PHISH-2025-005,Q2,2025-04-22,Fake Vendor Invoice,20,17,3,2,15.0%,Engineering,0.0%,No,No,N/A,Overall at threshold — no individual department exceeded
PHISH-2025-006,Q2,2025-04-22,Fake Vendor Invoice,20,17,3,2,15.0%,Finance,25.0%,Yes,Yes,2025-05-15,Finance exceeded threshold — supplemental training completed
PHISH-2025-007,Q2,2025-04-22,Fake Vendor Invoice,20,17,3,2,15.0%,Sales,16.7%,Yes,Yes,2025-05-18,Sales exceeded threshold again — second consecutive quarter
PHISH-2025-008,Q2,2025-04-22,Fake Vendor Invoice,20,17,3,2,15.0%,All Other,12.5%,No,No,N/A,
PHISH-2025-009,Q3,2025-07-10,Fake CEO Travel Request,20,16,4,2,20.0%,Engineering,8.3%,No,No,N/A,
PHISH-2025-010,Q3,2025-07-10,Fake CEO Travel Request,20,16,4,2,20.0%,Finance,25.0%,Yes,Yes,2025-08-05,Finance exceeded threshold — third consecutive quarter
PHISH-2025-011,Q3,2025-07-10,Fake CEO Travel Request,20,16,4,2,20.0%,Sales,33.3%,Yes,Yes,2025-08-08,Sales exceeded threshold — third consecutive quarter
PHISH-2025-012,Q3,2025-07-10,Fake CEO Travel Request,20,16,4,2,20.0%,All Other,18.8%,Yes,Yes,2025-08-12,"Other departments exceeded threshold for first time. Overall click rate 20% — increasing trend."
PHISH-2025-013,Q4,2025-10-08,Fake Benefits Enrollment,20,19,5,3,25.0%,Engineering,16.7%,Yes,Yes,2025-11-02,Engineering exceeded threshold for first time
PHISH-2025-014,Q4,2025-10-08,Fake Benefits Enrollment,20,19,5,3,25.0%,Finance,50.0%,Yes,Yes,2025-11-05,Finance exceeded threshold — fourth consecutive quarter. 50% click rate is highest ever recorded.
PHISH-2025-015,Q4,2025-10-08,Fake Benefits Enrollment,20,19,5,3,25.0%,Sales,33.3%,Yes,Yes,2025-11-08,Sales exceeded threshold — fourth consecutive quarter
PHISH-2025-016,Q4,2025-10-08,Fake Benefits Enrollment,20,19,5,3,25.0%,All Other,18.8%,Yes,Yes,2025-11-12,"Overall click rate 25% — highest in 2025. Increasing trend across all quarters: 10% → 15% → 20% → 25%."
