vendor_id,vendor_name,tier,service,data_classification,soc2_status,subservice_orgs,onboarding_date,last_business_review,status
NB-V-001,Amazon Web Services (AWS),Critical,Cloud infrastructure,Customer PII + Internal,Current,N/A (AWS is the infrastructure provider),2019-10-01,2025-12-08,Active
NB-V-002,Snowflake Inc.,Critical,Data warehouse,Customer PII + analytics,Current,AWS (inclusive),2022-01-15,2025-12-08,Active
NB-V-003,Stripe Inc.,Critical,Payment processing,Customer PII + financial,Current,"AWS, GCP (carve-out)",2021-05-01,2025-12-08,Active
NB-V-004,Okta Inc.,Critical,Identity management,Customer PII,Current,AWS (inclusive),2022-04-10,2025-12-08,Active
NB-V-005,Datadog Inc.,High,Monitoring and observability,Internal + metadata,Current,"AWS, GCP (inclusive)",2022-06-15,2025-10-15,Active
NB-V-006,CrowdStrike Holdings,High,Endpoint detection,Endpoint telemetry,Current,AWS (inclusive),2022-09-01,2025-10-15,Active
NB-V-007,Twilio Inc.,High,SMS and voice notifications,Customer phone numbers,Current,AWS (inclusive),2023-01-20,2025-10-15,Active
NB-V-008,Segment (Twilio),High,Customer data platform,Customer behavioral data (events and user traits),Current,AWS (inclusive),2023-05-01,2025-10-15,Active
NB-V-009,PagerDuty Inc.,High,Incident alerting,Internal,Current,AWS (inclusive),2021-08-01,2025-10-15,Active
NB-V-010,Zendesk Inc.,High,Customer support,Customer PII,Current,AWS (inclusive),2023-03-01,2025-10-15,Active
NB-V-011,Figma Inc.,Medium,Design tools,Internal only,N/A,N/A,2023-07-01,N/A,Active
NB-V-012,Notion Labs,Medium,Documentation,Internal only,N/A,N/A,2024-02-01,N/A,Active
NB-V-013,Lattice,Medium,HR management,Employee PII,N/A,AWS (carve-out),2023-09-15,N/A,Active
NB-V-014,DocuSign Inc.,Low,Contract e-signatures,Internal contracts,N/A,N/A,2024-05-01,N/A,Active
